"name";"bold";"eol";"tsn";"ncbi"
"Cryptomonas";"99278";"12824441";"10639";"3030"
"Chromatium";NA;"21641224";"957381";"1047"
"Amoebobacter";NA;NA;"956708";"1056"
"Coleps";NA;"15620072";"46264";"6003"
"Prorodon";NA;"19456598";NA;"40332"
"Anuraeopsis fissa";"342398";"15037108";"58526";"885374"
"Vorticella";NA;"12082431";"46501";"60849"
"Paramecium";"111710";"12705592";"46416";"5884"
"Cyclidium";"179373";"12081457";"46437";"35099"
"Strombidium";"604037";"12436214";NA;"60005"
"Polyarthra";"212141";"13477670";"59274";"360692"
"Keratella";"31549";"15631056";"58352";"204737"
"Thermocyclops dybowskii";"596746";"15640713";NA;NA
