"sp_taxon_1";"sp_taxon_2";"value";"type"
"Cottus carolinae";"Gammarus minus";"1";"predation"
"Cottus carolinae";"G. bousfieldi";"1";"predation"
"Cottus carolinae";"Tipula sp. (near nobilis)";"1";"predation"
"Cottus carolinae";"Asellus bivittatus";"1";"predation"
"Cambarus bartoni";"Gammarus minus";"1";"predation"
"Cambarus bartoni";"G. bousfieldi";"1";"predation"
"Cambarus bartoni";"Tipula sp. (near nobilis)";"1";"predation"
"Cambarus bartoni";"Asellus bivittatus";"1";"predation"
"Cambarus bartoni";"Fissidens juliaus";"1";"predation"
"Cambarus bartoni";"Nasturtium officinale";"1";"predation"
"Cambarus bartoni";"allochthonous detritus";"1";"commensalism"
"Cambarus bartoni";"autochthonous detritus";"1";"commensalism"
"Cambarus bartoni";"epiphytic algae";"1";"herbivory"
"Gammarus minus";"Fissidens juliaus";"1";"predation"
"Gammarus minus";"Nasturtium officinale";"1";"predation"
"Gammarus minus";"autochthonous detritus";"1";"commensalism"
"G. bousfieldi";"Fissidens juliaus";"1";"predation"
"G. bousfieldi";"Nasturtium officinale";"1";"predation"
"G. bousfieldi";"allochthonous detritus";"1";"commensalism"
"G. bousfieldi";"autochthonous detritus";"1";"commensalism"
"G. bousfieldi";"epiphytic algae";"1";"herbivory"
"Tipula sp. (near nobilis)";"Fissidens juliaus";"1";"predation"
"Tipula sp. (near nobilis)";"epiphytic algae";"1";"herbivory"
"Asellus bivittatus";"Fissidens juliaus";"1";"predation"
"Asellus bivittatus";"autochthonous detritus";"1";"commensalism"
"Asellus bivittatus";"epiphytic algae";"1";"herbivory"
"Fissidens juliaus";"autochthonous detritus";"1";"commensalism"
"Fissidens juliaus";"epiphytic algae";"1";"herbivory"
"Nasturtium officinale";"autochthonous detritus";"1";"commensalism"
"epiphytic algae";"autochthonous detritus";"1";"commensalism"
