"sp_taxon_1";"sp_taxon_2";"value";"type";"method"
"Phagocata gracilis";"Gammarus minus";"1";"predation";"Field observation"
"Phagocata gracilis";"Asellus brevicaudus";"1";"predation";"Field observation"
"Nigronia fasciata";"Gammarus minus";"1";"predation";"gut content"
"Nigronia fasciata";"Asellus brevicaudus";"1";"predation";"gut content"
"Nigronia fasciata";"Neophylax autumnus";"1";"predation";"gut content"
"Nigronia fasciata";"Glossosoma intermedium";"1";"predation";"gut content"
"Sialis joppa";"Gammarus minus";"1";"predation";"gut content"
"Sialis joppa";"Diplectrona modesta";"1";"predation";"gut content"
"Sialis joppa";"Neophylax autumnus";"1";"predation";"gut content"
"Sialis joppa";"Glossosoma intermedium";"1";"predation";"gut content"
"Rhinichthys atratulus";"Orconectes rusticus";"1";"predation";"Field observation and gut content"
"Rhinichthys atratulus";"Cambarus tenebrosus";"1";"predation";"Field observation and gut content"
"Rhinichthys atratulus";"Gammarus minus";"1";"predation";"Field observation and gut content"
"Rhinichthys atratulus";"Tendipedidae (unspecified)";"1";"predation";"Field observation and gut content"
"Rhinichthys atratulus";"Simulium sp.";"1";"predation";"Field observation and gut content"
"Rhinichthys atratulus";"terrestrial insects (unspec.)";"1";"predation";"Field observation and gut content"
"Semotilus atromaculatus";"Phagocata gracilis";"1";"predation";"Field observation and gut content"
"Semotilus atromaculatus";"Gammarus minus";"1";"predation";"Field observation and gut content"
"Semotilus atromaculatus";"Phyacophila parantra";"1";"predation";"Field observation and gut content"
"Semotilus atromaculatus";"Asellus brevicaudus";"1";"predation";"Field observation and gut content"
"Semotilus atromaculatus";"Tendipedidae (unspecified)";"1";"predation";"Field observation and gut content"
"Semotilus atromaculatus";"Simulium sp.";"1";"predation";"Field observation and gut content"
"Semotilus atromaculatus";"terrestrial insects (unspec.)";"1";"predation";"Field observation and gut content"
"Orconectes rusticus";"Baetis phoebus";"1";"predation";"gut content"
"Orconectes rusticus";"B. herodes";"1";"predation";"gut content"
"Orconectes rusticus";"Centroptilium rufostrigatum";"1";"predation";"gut content"
"Orconectes rusticus";"Epeorus pleuralis";"1";"predation";"gut content"
"Orconectes rusticus";"Neophylax autumnus";"1";"predation";"gut content"
"Orconectes rusticus";"Glossosoma intermedium";"1";"predation";"gut content"
"Orconectes rusticus";"Tendipedidae (unspecified)";"1";"predation";"gut content"
"Orconectes rusticus";"Simulium sp.";"1";"predation";"gut content"
"Orconectes rusticus";"detritus";"1";"commensalism";"gut content"
"Cambarus tenebrosus";"Phagocata gracilis";"1";"predation";"gut content"
"Cambarus tenebrosus";"Gammarus minus";"1";"predation";"gut content"
