"G.W. Minshall (1967). Role of Allochthonous Detritus in the Trophic Structure of a Woodland Springbrook Community. Ecology. 48(1), pp. 139-149.",,,,,,,,,,,,,,,,,,,,,
Springbrook community - Morgan Creek - Kentucky - USA,Phagocata gracilis,Nigronia fasciata,Sialis joppa,Rhinichthys atratulus,Semotilus atromaculatus,Orconectes rusticus,Cambarus tenebrosus,Isoperla clio,Isogenus decisus,Gammarus minus,Diplectrona modesta,Phyacophila parantra,Asellus brevicaudus,Baetis phoebus,B. herodes,Centroptilium rufostrigatum,Epeorus pleuralis,Neophylax autumnus,Glossosoma intermedium,Tendipedidae (unspecified),Simulium sp.
Phagocata gracilis,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Orconectes rusticus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambarus tenebrosus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammarus minus,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diplectrona modesta,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Phyacophila parantra,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Asellus brevicaudus,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Baetis phoebus,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
B. herodes,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Centroptilium rufostrigatum,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Epeorus pleuralis,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Neophylax autumnus,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Glossosoma intermedium,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Tendipedidae (unspecified),0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Simulium sp.,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
diatoms (unspec.),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
detritus,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
terrestrial insects (unspec.),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
