"original_name";"name_clear"
"dung";"Dung"
"Haematobia irritans";"Haematobia irritans"
"Sarcophaga spp.";"Sarcophaga"
"Paregle cinerella";"Paregle cinerella"
"Cryptolucilia ceasarion";"Cryptolucilia ceasarion"
"Sepsis violacea";"Sepsis violacea"
"Leptocera sp.";"Leptocera"
"Geosargus cuprarius";"Geosargus cuprarius"
"Aphodius fimetarius";"Aphodius fimetarius"
"Sphaeridium scarabaeoides";"Sphaeridium scarabaeoides"
"Xyalophora quinquelineata";"Xyalophora quinquelineata"
"Phaneropria sp.";"Phaneropria"
"Platystethus americanus";"Platystethus americanus"
"other staphylinids (unspec.)";"Staphylinidae"
"Sphaeridium bipustulatum";"Sphaeridium bipustulatum"
"Hister abbreviatus";"Hister abbreviatus"
