"original_name";"name_clear"
"bacteria";"Bacteria"
"Asellus";"Asellus"
"Valvata";"Valvata"
"chironomids";"Chironomidae"
"Anadonta";"Anadonta"
"Daphnia";"Daphnia"
"pochard";"Aythya ferina"
"swan";"Cygnus"
"coot";"Fulica"
"rotifers";"Rotifera"
"oligochaetes";"Oligochaeta"
"nematodes";"Nematoda"
"ciliates";"Ciliate"
"fry";"Pisces"
"tufted duck";"Aythya fuligula"
"insect emergence";"Insectae"
"Cyclops";"Cyclops"
"trout";"Oncorhynchus"
"perch";"Perca"
"pike";"Esox"
"man";"Homo sapiens"
"detritus";"Detritus"
"benthic algae";"Algae"
"phytoplankton";"Phytoplankton"
"Phragmites";"Phragmites"
"Potamogeton";"Potamogeton"
"herb";"Plantae"
