"Morgan, N.C. and McLusky, D.S. (1972). A summary of the Loch Leven IBP results in relation to lake management and future research. Proc. R. Soc. Edinburgh      Series B, 74:407-416.",,,,,,,,,,,,,,,,,,
Loch Leven - Scotland,bacteria,Asellus,Valvata,herb - chironomids,Anadonta,Daphnia,pochard - swan - coot,rotifers,oligochaetes,nematodes - ciliates,fry,tufted duck,insect emergence,Cyclops,trout,perch,pike,man
detritus,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
benthic algae,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Phragmites - Potamogeton,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bacteria,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Asellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Valvata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
herb - chironomids,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Daphnia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
rotifers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
trout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
perch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
