"name";"bold";"eol";"tsn";"ncbi"
"Alona";"5249";"12007385";"83976";"362317"
"Euchanis";NA;NA;NA;NA
"Cephalodella";"400831";"12489459";"58825";"231615"
"Monommata";"738299";"31594662";"58941";"360678"
"Bdelloidea";"78951";"30446948";"914205";"44578"
"Arcella";NA;"12435246";"43963";"318540"
"Difflugia";NA;"15619065";"43952";"1165355"
"Centropyxis";NA;"12186598";"43966";"318527"
"Leusquereusia";NA;NA;NA;NA
"Nebela";NA;"21430707";"43976";"318537"
"Quadrulella";NA;"31603090";"43970";"1108960"
"Heleopera";NA;"31604707";NA;"318525"
"Euglypha";NA;"21454149";"203854";"39713"
"Trinema";"745201";"21398292";"951564";"178371"
"Cyphoderia";NA;"24801339";"44024";"178374"
"Ploesoma";NA;"24676757";"59283";"360689"
"Leptonema";"5215";"12152528";"115626";"32205"
"Petrophyla";NA;NA;NA;NA
"Tupiperla";NA;"6968710";NA;NA
"Heterelmis";"201845";"14061040";"193733";"546732"
"Ablabesmyia karelia";NA;NA;NA;NA
"Metriocnemus";"56414";"12018761";"128722";"137497"
"Hydrozoa";"26";"10519566";"48739";"6074"
"Phylloicus";"106693";"14073708";"602560";"177842"
"Brachycera";"208069";"26093332";"106377";"7203"
"Nanocladius";"74222";"12384533";"128851";"611365"
"Cryptochironomus";"102867";"12921590";"129374";"391808"
"Saetheria";"102879";"31280616";"129735";"1891021"
"Limnocoris";"519166";"6942735";"1054068";"236689"
"Hexatoma";"179429";"13046640";"120101";"454617"
"Phaenopsectra";"56428";"13375769";"129645";"1279003"
"Stenochironomus";"377802";"13370974";"129751";"209694"
"Imparfinis mirini";"253725";"22952023";"681348";"1123846"
"Aphyla";NA;NA;"847340";NA
"Progomphus";"94725";"13548587";"101722";"126210"
"Castoraeschna";"539334";"21119221";"592694";NA
"Libellulidae";"1866";"11092054";"101797";"6964"
"Megapodogrionidae";NA;NA;NA;NA
"Hetaerina";"94705";"13546743";"591933";"62017"
"Corduliidae";"94708";"11821709";"102020";"70381"
"Gyretes";"545919";"15287533";"1025050";"159808"
"Megadytes";"105834";"15017504";"811220";"107902"
"Tropisternus ";NA;"6637265";"112948";"538626"
"Hydrothassa";"459417";"13047680";"719839";"878106"
"Dryops";"248181";"13357051";"708250";"195189"
"Parametriocnemus";"56424";"13040311";"128986";"611373"
"Chironomini";"784715";"32273123";"129229";"72530"
"Xestochironomus";"920600";"6196639";"129842";"866747"
"Tribelos";"150172";"13382666";"129827";"994287"
"Goeldichironomus";"105971";"6197027";"206650";"391818"
"Constempellina";"56741";"21140817";"129884";NA
"Paratendipes";"262596";"12919831";"129629";"1279001"
"Dixella";"393893";"13183544";"125859";"46213"
"Nimbocera paulensis";NA;NA;NA;NA
"Hisonotus";"199290";"16952206";"679920";"321122"
"Geophagus brasiliensis";"200812";"21415341";"169915";"81339"
"Astyanax scabripinnis";"253828";"20972332";"640523";"66174"
"Characidium schubarti";"253719";"24025790";"640758";"1349301"
