"orignial_name";"name_clear"
"phytoplankton";"Phytoplankton"
"zooplankton";"Zooplankton"
"algae";"Algae"
"invertebrates";"Invertebrata"
"fish";"Pisces"
"sea turtles";"Chelonioidea"
"pig";"Sus"
"coconut";"Cocos nucifera"
"coconut crabs";"Birgus latro"
"fowl";"Galloanserae"
"land vegetation";"Plantae"
"Cyrtosperma";"Cyrtosperma"
"Pandanus";"Pandanus"
"breadfruit";"Treculia africana"
"turtle grass";"Thalassia testudinum"
"insects";"Insecta"
"skinks";"Scincidae"
"geckos";"Gekkota"
"terns";"Laridae"
"frigate birds";"Fregatidae"
"boobies";"Sula"
"man";"Homo sapiens"
"rat";"Rattus"
"reef heron";"Egretta gularis"
"starlings";"Sturnidae"
"land crustacea";"Crustacea"
"fungi";"Fungi"
"snails";"Gastropoda"
"annelids";"Annelida"
