"sp_taxon_1";"sp_taxon_2";"value"
"Halictus sp.";"Azorina vidalii";"98"
"Sepsis thoracica";"Azorina vidalii";"51"
"Bombus ruderatus";"Azorina vidalii";"9"
"Colias crocea";"Azorina vidalii";"9"
"Musca domestica";"Azorina vidalii";"23"
"Apis mellifera";"Azorina vidalii";"89"
"Lasius niger";"Azorina vidalii";"37"
"Calliphora vemitoria";"Azorina vidalii";"13"
"Sepsis thoracica";"Crithmum maritimum";"87"
"Musca domestica";"Crithmum maritimum";"83"
"Lucilia sericata";"Crithmum maritimum";"93"
"Eristalix tenax";"Crithmum maritimum";"12"
"Halictus sp.";"Solidago sempervivens";"141"
"Agrotis ipsilon";"Solidago sempervivens";"22"
"Sepsis thoracica";"Beta vulgaris";"8"
"Halictus sp.";"Daucus carota";"11"
"Musca domestica";"Daucus carota";"102"
"Lucilia sericata";"Daucus carota";"8"
"Halictus sp.";"Silene vulgaris";"7"
"Sepsis thoracica";"Silene vulgaris";"30"
"Halictus sp.";"Chamomilla suaveolens";"21"
"Musca domestica";"Chamomilla suaveolens";"42"
"Anothomyia pluvialis";"Chamomilla suaveolens";"23"
"Bombus ruderatus";"Lotus corniculatus";"47"
"Colias crocea";"Lotus corniculatus";"21"
"Apis mellifera";"Lotus corniculatus";"9"
"Bombus ruderatus";"Freesia refracta";"11"
"Colias crocea";"Freesia refracta";"12"
"Halictus sp.";"Reseda luteola";"11"
"Apis mellifera";"Reseda luteola";"9"
