"name";"bold";"eol";"tsn";"ncbi"
"Gastonia mauritiana";NA;NA;NA;"419752"
"Dracaena concinna";"766770";"54403016";"810207";"1280193"
"Scaevola sericea";"526257";NA;NA;"16481"
"Ipomoea macrantha";NA;NA;NA;"1908405"
"Pemphis acidula";"448561";"54403519";"507456";"126635"
"Hibiscus tiliaceus";"191824";NA;NA;"183267"
"Suriana maritima";"438943";"52892566";"28846";"32256"
"Argusia argentea";"514925";NA;NA;NA
"Thespesia populnea";"210579";"61394369";"21762";"3638"
"Morinda citrifolia";"383131";"61359333";"35071";"43522"
"Leucaena leucocephala";"315134";"57285063";NA;"3866"
"Passiflora suberosa";"433860";"50912216";"22232";"133504"
"Stachytapheta jamaicencis";NA;NA;NA;NA
"Turnera angustifolia";NA;NA;NA;"1908416"
"Phelsuma ornata";NA;"57424458";"819071";"232308"
"Stratiomydae";NA;NA;NA;NA
"Protaetia aurichalcea";"653471";"51709675";NA;"1486032"
"Leptotes pirithous";"55241";"52280239";NA;"282318"
"Lucilia";"6457";"51855735";"151596";"7374"
"Ornidia obesa";"385577";"55738220";"140724";"994474"
"Syrphid";NA;"57132871";NA;NA
"Xylocopa fenestrata";"698122";"52189275";"766710";"1785597"
"Phalantha phalantha";NA;NA;NA;NA
"Borbo borbonica";"210357";NA;NA;"1678383"
"Azorina vidalii";"420018";"57244887";NA;"239395"
"Crithmum maritimum";"288724";"52915772";NA;"40916"
"Solidago sempervivens";NA;NA;NA;NA
"Beta vulgaris";"288621";"61378816";"524869";"161934"
"Daucus carota";"121458";"57230083";"29477";"4039"
"Silene vulgaris";"100957";"46188599";"20142";"42043"
"Chamomilla suaveolens";NA;NA;NA;NA
"Lotus corniculatus";"121299";"57292077";"26362";"47247"
"Freesia refracta";"528572";"57207295";"43292";"126617"
"Reseda luteola";"291940";"46214749";"504738";"415813"
"Halictus";"2225";"51185146";"655578";"77574"
"Sepsis thoracica";"164862";"46453083";"145039";"305616"
"Bombus ruderatus";"91173";"53420803";"714999";"207645"
"Colias crocea";"70536";NA;NA;"72248"
"Calliphora vemitoria";NA;NA;NA;NA
"Eristalix tenax";NA;NA;NA;"198635"
"Agrotis ipsilon";"17088";"55718606";"117352";"56364"
"Anothomyia pluvialis";NA;NA;NA;"171272"
