Ile aux Aigrettes;;;origin;end;end;nat;nat;nat;nat;nat;nat;nat;intr;intr;intr;intr;intr
;;;plant_ge;Gastonia;Dracaena;Scaevola;Ipomoea;Pemphis;Hibiscus;Suriana;Argusia;Thespesia;Morinda;Leucaena;Passiflora;Stachytapheta;Turnera
;;;plant\pol;mauritiana;concinna;sericea;macrantha;acidula;tiliaceus;maritima;argentea;populnea;citrifolia;leucocephala;suberosa;jamaicencis;angustifolia
origin;pol_ge;pol_sp;no.;1;2;3;4;5;6;7;8;9;10;11;12;13;14
end;Phelsuma;ornata;1;30;33;19;0;21;28;0;12;14;23;9;7;0;0
nat;Phalantha;phalantha;2;0;0;0;0;117;0;0;0;0;0;0;0;26;0
nat;Stratiomydae;sp.;3;16;0;0;0;11;0;0;0;7;0;5;0;2;1
nat;Xylocopa;fenestrata;4;0;0;15;0;16;0;0;0;0;0;0;0;0;2
nat;Megachile;sp.;5;0;0;15;0;0;0;13;0;0;0;0;0;0;2
nat;Protaetia;aurichalcea;6;15;0;0;0;0;0;0;0;0;0;0;0;0;0
nat;Leptotes;pirithous;7;2;0;0;0;1;0;1;0;0;2;0;0;1;0
nat;Borbo;borbonica;8;0;0;0;0;0;0;0;0;2;0;0;0;1;1
intr;Apis;mellifera;9;149;11;92;126;103;138;23;57;69;115;46;34;0;0
intr;Musca;domestica;10;16;0;0;0;0;0;0;6;0;0;0;0;0;0
intr;Syrphid;sp.;11;0;17;0;0;0;0;0;6;0;0;0;0;2;0
intr;Lucilia;sp.;12;16;0;0;0;0;0;0;0;0;0;0;0;0;0
intr;Ornidia;obesa;13;16;0;0;0;0;0;0;0;0;0;0;0;0;0
