"R.T. Paine. Food Webs: Linkage, Interaction Strength and Community Infrastructure. Journal of Animal Ecology, 49(3), pp. 666-685.",,,,,,,,,,,,,,,,,,,,
Rocky shore - Cape Flattery - Washington,Tonicella - Acmaea mitra,urchins,limpets,Littorina,barnacles,Mytilus edulis,anemones,Mytilus californianus,Halichondria,Katharina,Tegula,Spirorbis,Pycnopodia,Searlesia,Thais sp -  Emplectonema - Ceratostoma,Leptasterias,Thais canaliculata,Dermasterias,Henricia - Archidoris,Pisaster
benthic algae,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
plankton - detritus,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
urchins,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
limpets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Littorina,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
barnacles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Mytilus edulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
anemones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mytilus californianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Halichondria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Katharina,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Tegula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spirorbis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
