"name";"bold";"eol";"tsn";"ncbi"
"Amphora ovalis";"678310";"12486752";"4721";"538918"
"Cymbella";"272050";"11359208";"4798";"216744"
"Fragilaria vaucheriae";NA;"13036686";"2947";"426648"
"Gomphonema angustatum";"678248";"12909788";"591581";"1574444"
"Meridion circulare";NA;"13385035";"3238";NA
"Navicula radiosa";"272044";"12486770";"3952";"431563"
"Staurosirella leptostauron";NA;"13392128";"590961";NA
"Didymosphenia geminata";"678233";"24546566";"591283";"1115533"
"Hannaea arcus";NA;"13055538";"3322";NA
"Zapada";"185304";"20944622";"102597";"466842"
"Ecclisomyia";"102968";"20901842";"605197";"461719"
"Prosimulium";"86256";"13062836";"126707";"13645"
"Salvelinus malma";"88751";"12091731";"162000";"8039"
"Chlorophyta";"112296";"11142489";"846493";"3041"
"Hydrurus foetidus";"292983";"14329953";"1873";"2996"
"Tanytarsini";"807323";"24651948";"129872";"72532"
"Thienemanniella";"56435";"13041046";"129188";"611396"
"Eunotia";"292436";"12017580";"3343";"196637"
"Ceratopogonidae";"567";"11994842";"127076";"41819"
"Chelifera ";NA;"11201658";"136311";"369889"
"Diamesa";"56490";"13045496";"127968";"338156"
"Dixa";"237220";"13102291";"125814";"79309"
"Oreogeton";"387126";"26255999";"136380";"369868"
"Pagastia";"150248";"24181089";"128401";"994279"
"Pericoma";"447556";"13192631";"125522";"1148481"
"Cinclus mexicanus";"11464";"11819046";"923469";"161649"
"Corynoneura";"56442";"12407454";"128567";"611344"
"Chloroperlidae";"505";"12116831";"103202";"143748"
"Diatoma heimale";NA;NA;NA;NA
"Gymnopais";"86305";"28927729";"126678";"61042"
