"sp_taxon_1";"sp_taxon_2";"value";"type"
"Small zooplankton";"Small phytoplankton";"1";"herbivory"
"Herbivorous vertebrate harvesters";"Algal mats - Crusts";"1";"herbivory"
"Herbivorous vertebrate harvesters";"Submergent vascular plants";"1";"herbivory"
"Herbivorous vertebrate harvesters";"Emergent vascular plants";"1";"herbivory"
"Turtles";"Algal mats - Crusts";"1";"herbivory"
"Turtles";"Submergent vascular plants";"1";"herbivory"
"Turtles";"Emergent vascular plants";"1";"herbivory"
"Turtles";"Animal carcasses";"1";"predation"
"Medium zooplankton";"Medium phytoplankton";"1";"herbivory"
"Medium zooplankton";"Small zooplankton";"1";"predation"
"Suspension-feeding invertebrates";"Small phytoplankton";"1";"herbivory"
"Suspension-feeding invertebrates";"Small zooplankton";"1";"predation"
"Fish larvae";"Small phytoplankton";"1";"herbivory"
"Fish larvae";"Medium phytoplankton";"1";"herbivory"
"Fish larvae";"Large phytoplankton";"1";"herbivory"
"Fish larvae";"Algal mats - Crusts";"1";"herbivory"
"Fish larvae";"Submergent vascular plants";"1";"herbivory"
"Fish larvae";"Small zooplankton";"1";"predation"
"Fish larvae";"Medium zooplankton";"1";"predation"
"Invertebrate predators";"Small zooplankton";"1";"predation"
"Invertebrate predators";"Medium zooplankton";"1";"predation"
"Invertebrate predators";"Fish larvae";"1";"predation"
"Fingerling fishes";"Small phytoplankton";"1";"herbivory"
"Fingerling fishes";"Medium phytoplankton";"1";"herbivory"
"Fingerling fishes";"Large phytoplankton";"1";"herbivory"
"Fingerling fishes";"Algal mats - Crusts";"1";"herbivory"
"Fingerling fishes";"Submergent vascular plants";"1";"herbivory"
"Fingerling fishes";"Small zooplankton";"1";"predation"
"Fingerling fishes";"Medium zooplankton";"1";"predation"
"Fingerling fishes";"Suspension-feeding invertebrates";"1";"predation"
"Fingerling fishes";"Fish larvae";"1";"predation"
"Fingerling fishes";"Invertebrate predators";"1";"predation"
"Filter-feeding fishes";"Small phytoplankton";"1";"herbivory"
"Minnow-like fishes";"Small phytoplankton";"1";"herbivory"
"Filter-feeding fishes";"Medium phytoplankton";"1";"herbivory"
"Minnow-like fishes";"Medium phytoplankton";"1";"herbivory"
"Filter-feeding fishes";"Large phytoplankton";"1";"herbivory"
"Minnow-like fishes";"Large phytoplankton";"1";"herbivory"
"Filter-feeding fishes";"Algal mats - Crusts";"1";"herbivory"
"Minnow-like fishes";"Algal mats - Crusts";"1";"herbivory"
"Filter-feeding fishes";"Small zooplankton";"1";"predation"
"Minnow-like fishes";"Small zooplankton";"1";"predation"
"Filter-feeding fishes";"Medium zooplankton";"1";"predation"
"Minnow-like fishes";"Medium zooplankton";"1";"predation"
"Filter-feeding fishes";"Suspension-feeding invertebrates";"1";"predation"
"Minnow-like fishes";"Suspension-feeding invertebrates";"1";"predation"
"Filter-feeding fishes";"Fish larvae";"1";"predation"
"Minnow-like fishes";"Fish larvae";"1";"predation"
"Filter-feeding fishes";"Invertebrate predators";"1";"predation"
"Minnow-like fishes";"Invertebrate predators";"1";"predation"
"Filter-feeding fishes";"Fingerling fishes";"1";"predation"
"Minnow-like fishes";"Fingerling fishes";"1";"predation"
"Bottom-feeding fishes";"Small phytoplankton";"1";"herbivory"
"Bottom-feeding fishes";"Medium phytoplankton";"1";"herbivory"
"Bottom-feeding fishes";"Large phytoplankton";"1";"herbivory"
"Bottom-feeding fishes";"Algal mats - Crusts";"1";"herbivory"
"Bottom-feeding fishes";"Submergent vascular plants";"1";"herbivory"
"Bottom-feeding fishes";"Small zooplankton";"1";"predation"
"Bottom-feeding fishes";"Medium zooplankton";"1";"predation"
"Bottom-feeding fishes";"Suspension-feeding invertebrates";"1";"predation"
"Bottom-feeding fishes";"Fish larvae";"1";"predation"
"Bottom-feeding fishes";"Invertebrate predators";"1";"predation"
"Bottom-feeding fishes";"Fingerling fishes";"1";"predation"
"Carnivorous fishes";"Algal mats - Crusts";"1";"herbivory"
"Carnivorous fishes";"Submergent vascular plants";"1";"herbivory"
"Carnivorous fishes";"Small zooplankton";"1";"predation"
"Carnivorous fishes";"Turtles";"1";"predation"
"Carnivorous fishes";"Suspension-feeding invertebrates";"1";"predation"
"Carnivorous fishes";"Fish larvae";"1";"predation"
"Carnivorous fishes";"Invertebrate predators";"1";"predation"
"Carnivorous fishes";"Fingerling fishes";"1";"predation"
"Carnivorous fishes";"Filter-feeding fishes";"1";"predation"
"Carnivorous fishes";"Minnow-like fishes";"1";"predation"
"Carnivorous fishes";"Bottom-feeding fishes";"1";"predation"
"Carnivorous vertebrate harvesters";"Suspension-feeding invertebrates";"1";"predation"
"Carnivorous vertebrate harvesters";"Invertebrate predators";"1";"predation"
"Carnivorous vertebrate harvesters";"Filter-feeding fishes";"1";"predation"
"Carnivorous vertebrate harvesters";"Minnow-like fishes";"1";"predation"
"Carnivorous vertebrate harvesters";"Bottom-feeding fishes";"1";"predation"
"Carnivorous vertebrate harvesters";"Carnivorous fishes";"1";"predation"
