"original_name";"name_clear"
"Small phytoplankton";"Phytoplankton"
"Algal mats - Crusts";"Algae"
"Submergent vascular plants";"Plantae"
"Emergent vascular plants";"Plantae"
"Animal carcasses";"Animalia"
"Medium phytoplankton";"Phytoplankton"
"Small zooplankton";"Zooplankton"
"Large phytoplankton";"Phytoplankton"
"Medium zooplankton";"Zooplankton"
"Fish larvae";"Pisces"
"Suspension-feeding invertebrates";"Invertebrata"
"Invertebrate predators";"Invertebrata"
"Fingerling fishes";"Pisces"
"Turtles";"Testudines"
"Filter-feeding fishes";"Pisces"
"Minnow-like fishes";"Cyprinidae"
"Bottom-feeding fishes";"Pisces"
"Carnivorous fishes";"Pisces"
"Herbivorous vertebrate harvesters";"Vertebrata"
"Carnivorous vertebrate harvesters";"Vertebrata"
