"original_name";"name_clear"
"fish (unspecified)";"Pisces"
"Caenis rivulorum";"Caenis rivulorum"
"Ephemerella ignita";"Ephemerella ignita"
"Perla cephalotes";"Perla cephalotes"
"P. carlukiana";"Perla carlukiana"
"Perla cephalotes (5 mm)";"Perla cephalotes"
"Chloroperla grammatica";"Chloroperla grammatica"
"Stenophylax stellatus";"Stenophylax stellatus"
"Rhyacophila dorsalis";"Rhyacophila dorsalis"
"Agapetus fuscipes";"Agapetus fuscipes"
"Hydropsyche instabilis";"Hydropsyche instabilis"
"Polycentropus flavomaculatus";"Polycentropus flavomaculatus"
"Plectrocnemia conspersa";"Plectrocnemia conspersa"
"Crunoecia irrorata";"Crunoecia irrorata"
"Tinodes waeneri";"Tinodes waeneri"
"Hydroptila sp.";"Hydroptila"
"chironomids (unspec.)";"Chironomidae"
"Simulium reptans";"Simulium reptans"
"Gammarus pulex";"Gammarus pulex"
"Nais sp.";"Nais"
"Limnaea peregra";"Limnaea peregra"
"Helmis sp. larvae";"Helmis"
"tubificids (unspec.)";"Tubificidae"
"Limnophilus sp.";"Limnephilus"
"filamentous algae (unspec.)";"Algae"
"desmids (unspec.)";"Desmidiales"
"diatoms (unspec.)";"Diatoms"
"mosses (unspec.)";"Bryophyta"
"unicellular algae (unspec.)";"Algae"
"Baetis binoculatus";"Baetis binoculatus"
"B. rhodani";"Baetis rhodani"
"B. pumilus";"Baetis pumilus"
"Ecdyurus venosus";"Ecdyonurus venosus"
"Rhithrogena semicolorata";"Rhithrogena semicolorata"
"Orthocladiariae sp.";"Orthocladiariae"
"Tanypinae";"Tanypodinae"
"detritus";"Detritus"
"Phanerogamic matter";"Spermatophyta"
"Physa sp.";"Physa"
"Sphaerium sp.";"Sphaerium"
"Pisidium sp.";"Pisidium"
"Homo sapiens";"Homo sapiens"
"otter";"Lutrinae"
"heron";"Ardeidae"
"kingfisher";"Actenoides concretus"
"insectivorous birds";"Aves"
"bats";"Chiroptera"
"Heptagenia sulphurea";"Heptagenia sulphurea"
"Perlodes mortoni";"Perlodes mortoni"
"Leuctra hippopus";"Leuctra hippopus"
"L. klapaleki";"Leuctra klapaleki"
"Halesus auricollis";"Halesus auricollis"
"Glossosoma vernale";"Glossosoma vernale"
"Psychomyia pusilla";"Psychomyia pusilla"
"Tanytarsus";"Tanytarsus"
"Hexatoma sp.";"Hexatoma"
"Herpobdella atomaria";"Herpobdella atomaria"
"Helobdella stagnalis";"Helobdella stagnalis"
"Glossosiphonia complanata";"Glossosiphonia complanata"
"Ancylus fluviatilis";"Ancylus fluviatilis"
"Hydra sp.";"Hydra"
