"sp_taxon_1";"sp_taxon_2";"value"
"Pectis tenuifolia";"Xylocopa darwini";1
"Chiococa alba";"Xylocopa darwini";1
"Darwiniothamnus tenuifolius";"Xylocopa darwini";1
"Opuntia echios";"Xylocopa darwini";1
"Scalesia affinis";"Xylocopa darwini";1
"Waltheria ovata";"Xylocopa darwini";1
"Cordia lutea";"Xylocopa darwini";1
"Cordia revoluta";"Xylocopa darwini";1
"Jasminoserius thouarsii";"Xylocopa darwini";1
"Lippia rosmarinifolia";"Xylocopa darwini";1
"Passiflora foetida";"Xylocopa darwini";1
"Pectis tenuifolia";"Lepidanthrax tinctus";1
"Chiococa alba";"Lepidanthrax tinctus";1
"Darwiniothamnus tenuifolius";"Lepidanthrax tinctus";1
"Opuntia echios";"Lepidanthrax tinctus";1
"Scalesia affinis";"Lepidanthrax tinctus";1
"Waltheria ovata";"Lepidanthrax tinctus";1
"Chiococa alba";"Halmenus cuspidatus";1
"Darwiniothamnus tenuifolius";"Halmenus cuspidatus";1
"Opuntia echios";"Halmenus cuspidatus";1
"Scalesia affinis";"Halmenus cuspidatus";1
"Waltheria ovata";"Halmenus cuspidatus";1
"Plumbago scandens";"Phoebis sennae";1
"Pectis tenuifolia";"Unidentified sp1 M_PL_042";1
"Pectis tenuifolia";"Unidentified sp2 M_PL_042";1
