"original_name";"name_clear"
"Acanthopagrus berda";"Acanthopagrus berda"
"Ambassis agassizii";"Ambassis agassizii"
"Anguilla australis";"Anguilla australis"
"Anguilla reinhardtii";"Anguilla reinhardtii"
"Arrhamphus sclerolepis";"Arrhamphus sclerolepis"
"Awaous acritosus";"Awaous acritosus"
"Bunaka gyrinoides";"Bunaka gyrinoides"
"Caranx ignobilis";"Caranx ignobilis"
"Craterocephalus stercusmuscarum";"Craterocephalus stercusmuscarum"
"Geres filamentosis";"Gerres filamentosus"
"Giurus margaritacea";"Giuris margaritacea"
"Glossamia aprion";"Glossamia aprion"
"Glossogobius species 1";"Glossogobius"
"Hephaestus tulliensis";"Hephaestus tulliensis"
"Herring";"Clupeidae"
"Hypseleotris compressa";"Hypseleotris compressa"
"Kuhlia rupestris";"Kuhlia rupestris"
"Lates calcarifer";"Lates calcarifer"
"Leognathus equulus";"Leiognathus equulus"
"Lutjanus argentimaculatus";"Lutjanus argentimaculatus"
"Melanotaenia splendida splendida";"Melanotaenia splendida splendida"
"Microphis brachyurus";"Microphis brachyurus"
"Mugil cephalus";"Mugil cephalus"
"Nematalosa erebi";"Nematalosa erebi"
"Neosiluris ater";"Neosilurus ater"
"Notesthes robusta";"Notesthes robusta"
"Pseudomugil signifer";"Pseudomugil signifer"
"Rediogobius bikolanus";"Redigobius bikolanus"
"Tandanus tandanus";"Tandanus tandanus"
"Tilapia mariae";"Tilapia mariae"
"Toxotes chatareus";"Toxotes chatareus"
"Xiphophorus maculatus";"Xiphophorus maculatus"
"Fish";"Pisces"
"Mollusca";"Mollusca"
"Arachnida";"Arachnida"
"Chironomidae";"Chironomidae"
"Corixidae";"Corixidae"
"Notonectidae";"Notonectidae"
"Decapoda";"Decapoda"
"Diptera";"Diptera"
"Dipteran (not Chironomidae) larvae";"Diptera"
"Elmidae (larvae)";"Elmidae"
"Ephemeroptera";"Ephemeroptera"
"Filamentous algae";"Algae"
"Gerridae";"Gerridae"
"Mesovelidae";"Mesovelioidea"
"Hemiptera";"Hemiptera"
"Hymenoptera";"Hymenoptera"
"Ostracoda";"Ostracoda"
"Planktonic inverts";"Plankton"
"Cladocera";"Cladocera"
"Tricoptera";"Trichoptera"
"Detritus";"Detritus"
"Aquatic macrophytes";"Algae"
"Small terrestrial inverts";"Small terrestrial inverts"
"Odonata";"Odonata"
"Macrobrachium";"Macrobrachium"
"Orthoptera";"Orthoptera"
"Lepidoptera";"Lepidoptera"
"Fruit";"Plantae"
"Large terrestrial inverts";"Large terrestrial inverts"
"Terrestrial vegetation";"Plantae"
"Diatoms";"Diatoms"
"Desmids";"Desmidiales"
"Collembolla";"Collembola"
"Testate amoeba";"Testate amoeba"
