"name";"bold";"eol";"tsn";"ncbi"
"Acanthopagrus berda";"15168";"11090668";"647906";"119680"
"Ambassis agassizii";"148423";"18580385";"645539";"613159"
"Anguilla australis";"27609";"12189899";"161133";"7940"
"Anguilla reinhardtii";"27612";"12995038";"635472";"48165"
"Arrhamphus sclerolepis";"47386";"13003366";"165537";"159452"
"Awaous acritosus";NA;"20006004";"636985";"1477430"
"Bunaka gyrinoides";"48141";"12723518";"637073";"715905"
"Caranx ignobilis";"11573";"11089302";"168618";"376895"
"Craterocephalus stercusmuscarum";"155424";"24927679";"630914";"69135"
"Gerres filamentosus";"11353";"11942419";"169041";"274467"
"Giuris margaritacea";"755580";"12651848";"637365";"1095382"
"Glossamia aprion";"155485";"12284372";"168343";"638236"
"Glossogobius";"3599";"11939758";"637368";"150297"
"Hephaestus tulliensis";NA;"31781922";"650214";"1161358"
"Hypseleotris compressa";"53824";"17719880";"637513";"92064"
"Kuhlia rupestris";"140680";"11948535";"168086";"274803"
"Lates calcarifer";"18266";"11991730";"167669";"8187"
"Leiognathus equulus";"28029";"11943399";"168799";"218804"
"Lutjanus argentimaculatus";"18536";"11073867";"168868";"211834"
"Microphis brachyurus";"103428";"11331680";"166533";"161466"
"Mugil cephalus";"11398";"11202253";"170335";"48193"
"Nematalosa erebi";"47308";"13019181";"161804";"316163"
"Neosilurus ater";"717205";"21237401";"681807";NA
"Notesthes robusta";"155432";"13010749";"166949";"390354"
"Pseudomugil signifer";"140410";"16662154";"165976";"160495"
"Redigobius bikolanus";"88333";"12231139";"553345";"150325"
"Tandanus tandanus";"47362";"21459478";"640215";"512777"
"Tilapia mariae";"296752";"15043273";"169811";"158779"
"Toxotes chatareus";"493664";"12712206";"169493";"270537"
"Xiphophorus maculatus";"23586";"13174605";"165922";"8083"
"Corixidae";"160798";"11819510";"103364";"236405"
"Notonectidae";"160801";"11957028";"103557";"50616"
"Ephemeroptera";"405";"11819584";"100502";"30073"
"Gerridae";"90114";"12001792";"103801";"36161"
"Mesovelioidea";NA;NA;"676829";NA
"Odonata";"105";"11144851";"101593";"6961"
"Orthoptera";"101";"10518389";"102160";"6993"
"Desmidiales";"413967";"21472563";"954933";"131210"
"Testate amoeba";NA;NA;NA;NA
