"sp_taxon_1";"sp_taxon_2";"value";"type"
"Psen spp.";"secretions of Dilachnus pini";"1";"predation"
"Oxybelus uniglumis";"secretions of Dilachnus pini";"1";"predation"
"Crossocerus wesmaeli";"secretions of Dilachnus pini";"1";"predation"
"Formica fusca";"secretions of Dilachnus pini";"1";"predation"
"Acanthomyops niger";"secretions of Dilachnus pini";"1";"predation"
"Linyphia triangularis";"Psen spp.";"1";"predation"
"Linyphia triangularis";"Oxybelus uniglumis";"1";"predation"
"Linyphia triangularis";"Crossocerus wesmaeli";"1";"predation"
"Linyphia triangularis";"ichneumonids (unspecified)";"1";"predation"
"Linyphia triangularis";"Exochamus quadripustulatus";"1";"predation"
"Linyphia triangularis";"Coccinella 7-punctata";"1";"predation"
"Linyphia triangularis";"Anatis ocellata";"1";"predation"
"Linyphia triangularis";"Adalia bipunctata";"1";"predation"
"Linyphia triangularis";"Syrphus vitripennis larvae";"1";"predation"
"Linyphia triangularis";"Sphex sabulosa";"1";"predation"
"Linyphia triangularis";"Dilachnus pini";"1";"predation"
"Agelena labyrinthica";"Psen spp.";"1";"predation"
"Agelena labyrinthica";"Oxybelus uniglumis";"1";"predation"
"Agelena labyrinthica";"Crossocerus wesmaeli";"1";"predation"
"Agelena labyrinthica";"ichneumonids (unspecified)";"1";"predation"
"Agelena labyrinthica";"Exochamus quadripustulatus";"1";"predation"
"Agelena labyrinthica";"Coccinella 7-punctata";"1";"predation"
"Agelena labyrinthica";"Anatis ocellata";"1";"predation"
"Agelena labyrinthica";"Adalia bipunctata";"1";"predation"
"Agelena labyrinthica";"Syrphus vitripennis larvae";"1";"predation"
"Agelena labyrinthica";"Sphex sabulosa";"1";"predation"
"Agelena labyrinthica";"Dilachnus pini";"1";"predation"
"ichneumonids (unspecified)";"Retinia buoliana larvae";"1";"parasitism"
"ichneumonids (unspecified)";"Panolis griseovariegata larvae";"1";"parasitism"
"ichneumonids (unspecified)";"Oenerostoma piniariella larvae";"1";"parasitism"
"ichneumonids (unspecified)";"Gelechia dodecella larvae";"1";"parasitism"
"Psammochares fuscus";"Linyphia triangularis";"1";"predation"
"Psammochares fuscus";"Agelena labyrinthica";"1";"predation"
"Anthocoris nemorum";"Dilachnus pini";"1";"predation"
"Exochamus quadripustulatus";"Dilachnus pini";"1";"predation"
"Coccinella 7-punctata";"Dilachnus pini";"1";"predation"
"Anatis ocellata";"Dilachnus pini";"1";"predation"
"Adalia bipunctata";"Dilachnus pini";"1";"predation"
"Syrphus vitripennis larvae";"Dilachnus pini";"1";"predation"
"Sphex sabulosa";"Retinia buoliana larvae";"1";"predation"
"Sphex sabulosa";"Panolis griseovariegata larvae";"1";"predation"
"Sphex sabulosa";"Oenerostoma piniariella larvae";"1";"predation"
"Sphex sabulosa";"Gelechia dodecella larvae";"1";"predation"
"Dilachnus pini";"young Pinus sp.";"1";"herbivory"
"Retinia buoliana larvae";"young Pinus sp.";"1";"herbivory"
"Panolis griseovariegata larvae";"young Pinus sp.";"1";"herbivory"
"Oenerostoma piniariella larvae";"young Pinus sp.";"1";"herbivory"
"Gelechia dodecella larvae";"young Pinus sp.";"1";"herbivory"
