"name";"bold";"eol";"tsn";"ncbi"
"Dilachnus pini";NA;NA;NA;NA
"Psen";"314652";"13599864";"48297";"421427"
"Oxybelus uniglumis";"192991";"13039692";"1005306";"1889544"
"Crossocerus wesmaeli";"308642";"13340060";"1022404";"2494909"
"Exochomus quadripustulatus";"106952";"15271032";NA;"115346"
"Coccinella septempunctata";"105900";"12092460";"114347";"41139"
"Anatis ocellata";"398247";"13050174";NA;"703254"
"Adalia bipunctata";"26229";"12106194";"114341";"7084"
"Syrphus vitripennis";"30774";"12384370";"140302";"224256"
"Sphex sabulosa";NA;NA;NA;NA
"Retinia buoliana";NA;NA;NA;NA
"Panolis griseovariegata";NA;"24678901";NA;NA
"Oenerostoma piniariella";NA;NA;NA;NA
"Gelechia dodecella";NA;NA;NA;NA
"Linyphia triangularis";"31442";"13120191";"859725";"94031"
"Agelena labyrinthica";"286936";"13052166";"873624";"286032"
"Acanthomyops niger";NA;NA;NA;NA
"Psammochares fuscus";NA;NA;NA;NA
"Anthocoris nemorum";"373972";"13040390";"717441";"642069"
