"O.W. Richards. (1926). Studies on the Ecology of English Heaths: III. Animal Communities of the Felling and Burn Successions at Oxshott Heath, Surrey. Journal of Ecology. 14(2), pp. 244-281.",,,,,,,,,,,,,,,,,,,,,
Young pines - Oxshott Heath - UK,Psen spp.,Oxybelus uniglumis,Crossocerus wesmaeli,Formica fusca,Acanthomyops niger,Linyphia triangularis,Agelena labyrinthica,ichneumonids (unspecified),Psammochares fuscus,Anthocoris nemorum,Exochamus quadripustulatus,Coccinella 7-punctata,Anatis ocellata,Adalia bipunctata,Syrphus vitripennis larvae,Sphex sabulosa,Dilachnus pini,Retinia buoliana larvae,Panolis griseovariegata larvae,Oenerostoma piniariella larvae,Gelechia dodecella larvae
Psen spp.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxybelus uniglumis,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crossocerus wesmaeli,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linyphia triangularis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agelena labyrinthica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ichneumonids (unspecified),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exochamus quadripustulatus,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coccinella 7-punctata,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatis ocellata,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adalia bipunctata,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrphus vitripennis larvae,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphex sabulosa,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dilachnus pini,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
Retinia buoliana larvae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Panolis griseovariegata larvae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Oenerostoma piniariella larvae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Gelechia dodecella larvae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
secretions of Dilachnus pini,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
young Pinus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
