"sp_taxon_1";"sp_taxon_2";"value";"type"
"Phaomia sp. larvae";"Systenus sp. 1 larvae";"1";"predation"
"Phaomia sp. larvae";"Systenus sp. 2 larvae";"1";"predation"
"Phaomia sp. larvae";"Brachyopa insensilis larvae";"1";"predation"
"Phaomia sp. larvae";"Dasyhelea obscura larvae";"1";"predation"
"Thamiarea hospita";"Dasyhelea obscura larvae";"1";"predation"
"Thamiarea hospita";"Aulacigaster leucopeza eggs";"1";"predation"
"Thamiarea hospita";"Hericia hericia";"1";"predation"
"Systenus sp. 1 larvae";"Dasyhelea obscura larvae";"1";"predation"
"Systenus sp. 2 larvae";"Dasyhelea obscura larvae";"1";"predation"
"Brachyopa insensilis larvae";"flux material";"1";"herbivory"
"Dasyhelea obscura larvae";"flux material";"1";"herbivory"
"Aulacigaster leucopeza eggs";"flux material";"1";"herbivory"
"Hericia hericia";"flux material";"1";"herbivory"
