"sp_taxon_1";"sp_taxon_2";"value";"type"
"zooplankton";"detritus";"1";"commensalism"
"zooplankton";"phytoplankton";"1";"herbivory"
"Astraea undosa";"Macrocystis pyrifera";"1";"herbivory"
"Strongylocentrotus purpuratus";"detritus";"1";"commensalism"
"Strongylocentrotus purpuratus";"Macrocystis pyrifera";"1";"herbivory"
"Strongylocentrotus purpuratus";"Pterygophora californica";"1";"herbivory"
"Strongylocentrotus franciscanus";"detritus";"1";"commensalism"
"Strongylocentrotus franciscanus";"Macrocystis pyrifera";"1";"herbivory"
"Strongylocentrotus franciscanus";"Pterygophora californica";"1";"herbivory"
"Styela montereyensis";"phytoplankton";"1";"herbivory"
"Styela montereyensis";"zooplankton";"1";"predation"
"Tealia coriacea";"zooplankton";"1";"predation"
"Tealia coriacea";"Strongylocentrotus purpuratus";"1";"predation"
"Parapholas californica";"detritus";"1";"commensalism"
"Parapholas californica";"zooplankton";"1";"predation"
"Tethya aurantia";"detritus";"1";"commensalism"
"Tethya aurantia";"phytoplankton";"1";"herbivory"
"Diopatra ornata";"Macrocystis pyrifera";"1";"herbivory"
"Paguristes ulreyi";"detritus";"1";"commensalism"
"Kelletia kelletii";"Astraea undosa";"1";"predation"
"Kelletia kelletii";"Strongylocentrotus purpuratus";"1";"predation"
"Kelletia kelletii";"Styela montereyensis";"1";"predation"
"Kelletia kelletii";"Parapholas californica";"1";"predation"
"Kelletia kelletii";"Diopatra ornata";"1";"predation"
"Astrometis sertulifera";"Strongylocentrotus purpuratus";"1";"predation"
"Astrometis sertulifera";"Styela montereyensis";"1";"predation"
"Astrometis sertulifera";"Kelletia kelletii";"1";"predation"
"Octopus bimaculatus";"Paguristes ulreyi";"1";"predation"
"Octopus bimaculatus";"Kelletia kelletii";"1";"predation"
"Pisaster giganteus";"Astraea undosa";"1";"predation"
"Pisaster giganteus";"Styela montereyensis";"1";"predation"
"Pisaster giganteus";"Parapholas californica";"1";"predation"
"Pisaster giganteus";"Diopatra ornata";"1";"predation"
"Pimelometopon pulchrum";"Strongylocentrotus purpuratus";"1";"predation"
"Pimelometopon pulchrum";"Strongylocentrotus franciscanus";"1";"predation"
"Pisaster brevispinus";"Parapholas californica";"1";"predation"
"Pisaster brevispinus";"Kelletia kelletii";"1";"predation"
"Dermasterias imbricata";"Strongylocentrotus purpuratus";"1";"predation"
"Dermasterias imbricata";"Tealia coriacea";"1";"predation"
"Dermasterias imbricata";"Tethya aurantia";"1";"predation"
"Dermasterias imbricata";"Astrometis sertulifera";"1";"predation"
