"original_name";"name_clear"
"zooplankton";"Zooplankton"
"Astraea undosa";"Astraea undosa"
"Strongylocentrotus purpuratus";"Strongylocentrotus purpuratus"
"Strongylocentrotus franciscanus";"Strongylocentrotus franciscanus"
"Styela montereyensis";"Styela montereyensis"
"Tealia coriacea";"Tealia coriacea"
"Parapholas californica";"Parapholas californica"
"Tethya aurantia";"Tethya aurantia"
"Diopatra ornata";"Diopatra ornata"
"Paguristes ulreyi";"Paguristes ulreyi"
"Kelletia kelletii";"Kelletia kelletii"
"Astrometis sertulifera";"Astrometis sertulifera"
"Octopus bimaculatus";"Octopus bimaculatus"
"Pisaster giganteus";"Pisaster giganteus"
"Pimelometopon pulchrum";"Pimelometopon pulchrum"
"Pisaster brevispinus";"Pisaster brevispinus"
"Dermasterias imbricata";"Dermasterias imbricata"
"detritus";"Detritus"
"phytoplankton";"Phytoplankton"
"Macrocystis pyrifera";"Macrocystis pyrifera"
"Pterygophora californica";"Pterygophora californica"
