"H.E. Savely Jr. (1939). Ecological Relations of Certain Animals in Dead Pine and Oak Logs. Ecological Monographs. 9(3), pp. 321-385.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotting oak logs (> 3 years) North Carolina woodland - USA,Entomobrya ligate,Isotoma sensibilis,Neosmithurus clavatus,Reticulitermes flavipes,Parcoblatta sp.,Tachyta nana,Canosoma crassus,Staphylinus violacens,Coproporus ventriculus,Trachysectus confluentus,Actium sp.,Epierus regularis,Epierus sp.,Platysoma lecontei,Dendroides bicolor larvae,Elater nigricollis larvae,Orthostethus infuscatus larvae,Deltometopus amoenicornis larvae,Alaus oculatus larvae,Elaterinae larvae (undet.),Rhysodes americanus,Brontes dubius larvae,Megalodacne fasciata,Triplax thoracica,mycetyphagid (undet.),Hymenorus sp.,Platydema subcostatum,P. ruficorne,P. ruficolle,Uloma imberbis,Dioedus punctatus,Scotobates carcaratus larvae,Xylopinus saperdoides,Alobates pennsylvanicus larvae,Meracantha contracta larvae,Strongylium crenatum larvae,Synchroa punctata larvae,Pseudolucanus capreole larvae,Platycerus quercus,Ceruchus piceus,Dorcus (brevis?),Polymoecus brevipes larvae,Cloetus globosus,Trichiotinus bidens larvae,Phileurus valgus larvae,Passalus cornutus,Derobrachus brunneus larvae,Leptura proxima larvae,Eupsalis minuta,Scolecocampa liburna larvae,mycetophilid larvae (undet.),cecidomyid larvae (undet.),dolicopodid larvae (undet.),Augochlora pura,Camponotus herculeanus,Crematogaster lineolata,Leptothorax curvispinosus,Ponera coarcta,Proceratium croceum,Pheidole sp.,lumbricid (undet.),Strobilops aena,Polygyra fallax,P. tridentata,P. thyroideus,Zonitoides arboreus,Euconulus chersinus,Retinella indentata,Philomycus carolinensis,Cambala annulata,Fontaria coriacea,Polydesmus serratus,Spirostephon lactarium,Scolopendra viridis,Cryptops hyalina,Otocryptops sexspinosus,Bothropolys multidentatus,Chelanops dentatus,Podothrombium sp.,Allothrombium pulvinus,Zetes sp.,Schelorabates sp.,Pergamasus sp.,Megisthanus sp.,various larvae,fungi (red rot)
Entomobrya ligate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isotoma sensibilis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neosmithurus clavatus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudolucanus capreole larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polymoecus brevipes larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derobrachus brunneus larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mycetophilid larvae (undet.),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cecidomyid larvae (undet.),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dolicopodid larvae (undet.),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podothrombium sp.,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
