"original_name";"name_clear"
"Aedes";"Aedes"
"Aeshna";"Aeshna"
"Anacaena";"Anacaena"
"Belostoma";"Belostoma"
"Chaoborus";"Chaoborus"
"Cordulia";"Cordulia"
"Culex";"Culex"
"Cymbiodyta";"Cymbiodyta"
"Daphnia";"Daphnia"
"Diaptomus";"Diaptomus"
"Dorocordulia";"Dorocordulia"
"Enallagma";"Enallagma"
"Enochrus";"Enochrus"
"Eubranchipus";"Eubranchipus"
"Helisoma";"Helisoma"
"Helophorus";"Helophorus"
"Hydrobius";"Hydrobius"
"Hydrochara";"Hydrochara"
"Hydrochus";"Hydrochus"
"Hydrophilus";"Hydrophilus"
"Lestes";"Lestes"
"Leuccorhinia";"Leucorrhinia"
"Libellula";"Libellula"
"Lymnaea";"Lymnaea"
"Lynceus";"Lynceus"
"Notonecta";"Notonecta"
"Scapholeberis";"Scapholeberis"
"Somatochlora";"Somatochlora"
"Sympetrum";"Sympetrum"
"Tropisternus";"Tropisternus"
"Detritus";"Detritus"
"Acilius";"Acilius"
"Agabus";"Agabus"
"Chironomid";"Chironomidae"
"Colymbetes";"Colymbetes"
"Coptotomus";"Coptotomus"
"Desmopachria";"Desmopachria"
"Dineutus";"Dineutus"
"Dytiscus";"Dytiscus"
"Graphoderus";"Graphoderus"
"Gyrinus";"Gyrinus"
"Haliplus";"Haliplus"
"Hirudenea";"Hirudinea"
"Hydroporus";"Hydroporus"
"Hygrotus";"Hygrotus"
"Ilybius";"Ilybius"
"Laccophilus";"Laccophilus"
"Laccornis";"Laccornis"
"Lethocerus";"Lethocerus"
"Limnephilus";"Limnephilus"
"Liodessus";"Liodessus"
"Listronotus";"Listronotus"
"Rana";"Rana"
"Hyla";"Hyla"
"Rhantus";"Rhantus"
"Sphaeridae";"Sphaeriidae"
"Alonella";"Alonella"
"Chydorus";"Chydorus"
"Diacyclops";"Diacyclops"
"Acanthocyclops";"Acanthocyclops"
"Callicorixa";"Callicorixa"
"Hesperocorixa";"Hesperocorixa"
"Sigara";"Sigara"
"Ambystoma";"Ambystoma"
"Anabolia";"Anabolia"
"Banksiola";"Banksiola"
"Conochilus";"Conochilus"
"Gastropus";"Gastropus"
"Hexarthra";"Hexarthra"
"Keratella";"Keratella"
"Lepadella";"Lepadella"
"Polyarthra";"Polyarthra"
"Trichocerca";"Trichocerca"
"Anopheles";"Anopheles"
"Gerris";"Gerris"
"Ranatra";"Ranatra"
"Chrysemis";"Chrysemys"
"Oecetis";"Oecetis"
"Mochlonyx";"Mochlonyx"
