"name";"bold";"eol";"tsn";"ncbi"
"Aeshna";"4227";"11819314";"185977";"12920"
"Anacaena";"164666";"13035732";"112885";"295559"
"Belostoma";"372428";"13550950";"103689";"236415"
"Chaoborus";"169991";"12371325";"125911";"41812"
"Cordulia";"149424";"12395958";"101879";"197155"
"Cymbiodyta";"83227";"13043757";"113022";"347318"
"Diaptomus";"2313";"13054932";"85784";"398979"
"Dorocordulia";"149429";"21452382";"101854";"1566324"
"Enallagma";"4255";"12098307";"102107";"78523"
"Enochrus";"80460";"12002744";"112983";"290642"
"Eubranchipus";"4651";"13586386";"83724";"111187"
"Helisoma";"5976";"13391698";"76615";"1856808"
"Helophorus";"80457";"12362089";"113111";"154135"
"Hydrobius";"81915";"12366279";"113196";"290644"
"Hydrochara";"248162";"12372387";"113194";"1055510"
"Hydrochus";"169671";"13041067";"113170";"154138"
"Hydrophilus";NA;"12153505";"113209";"136726"
"Lestes";"4262";"13481975";"102061";"181491"
"Leucorrhinia";"96063";"12010803";"101889";"197165"
"Libellula";"4000";"12096469";"8504";"6965"
"Lynceus";"5263";"12298580";"83772";"77665"
"Notonecta";"198466";"6941939";"103563";"236412"
"Scapholeberis";"4594";"12198710";"83925";"77652"
"Somatochlora";"94709";"12132990";"101951";"126259"
"Sympetrum";"4239";"13051911";"101980";"6968"
"Tropisternus";"373137";"12390334";"112947";"538626"
"Acilius";"166604";"12381792";"112076";"107767"
"Agabus";"55407";"12034850";"111977";"107769"
"Colymbetes";"55425";"12152600";"112386";"107792"
"Coptotomus";"170108";"21911361";"112375";"159804"
"Desmopachria";"168575";"13574071";"112150";"107797"
"Dineutus";"160631";"12366477";"112715";"357802"
"Dytiscus";"105848";"12377849";"112125";"107799"
"Graphoderus";"105846";"12395235";"112169";"107847"
"Gyrinus";"6157";"12105045";"112663";"110031"
"Haliplus";"55435";"12484516";"111862";"107852"
"Hydroporus";"55400";"12356905";"112405";"107870"
"Hygrotus";"55384";"12358975";"112204";"107883"
"Ilybius";"55419";"12147107";"112185";"156912"
"Laccophilus";"3550";"11966019";"112281";"107891"
"Laccornis";"169066";"13357374";"112275";"107895"
"Lethocerus";"160957";"12389002";"103713";"43338"
"Limnephilus";"5494";"11936916";"116077";"177674"
"Liodessus";"172236";"13312948";"728343";"107900"
"Listronotus";"27049";"13980702";"114694";"122862"
"Rana";"2939";"23945022";"5210";"8399"
"Hyla";"4292";"12134073";"32193";"8421"
"Rhantus";"55427";"11976747";"112092";"107928"
"Sphaeriidae";"668";"11363933";NA;"55711"
"Alonella";"5256";"13175308";"84040";"362311"
"Chydorus";"5255";"12398647";"83997";"77744"
"Diacyclops";"51850";"12084695";"88779";"516365"
"Acanthocyclops";"69547";"13039807";"88767";"245076"
"Callicorixa";"208203";"12388996";"103518";"881532"
"Hesperocorixa";"198456";"12150076";"103448";"337904"
"Sigara";"166314";"11821673";"103373";"446485"
"Ambystoma";"3006";"21902613";"173592";"8295"
"Anabolia";"91767";"13343185";"115966";"446527"
"Banksiola";"88583";"21283753";"115917";"177687"
"Conochilus";"281615";"15634203";"59421";"360647"
"Gastropus";"595924";"20300435";"59175";NA
"Hexarthra";"281601";"13001243";"59357";"1611851"
"Lepadella";"284140";"11337582";"58492";"231621"
"Trichocerca";"281611";"12084025";"59078";"360703"
"Anopheles";"7809";"11090881";"125961";"7164"
"Gerris";"90116";"12171563";"103838";"56096"
"Ranatra";"194688";"12153149";"103752";"236715"
"Chrysemys";"5587";"13279989";"208622";"8477"
"Mochlonyx";"254970";"13382935";"125893";"1577622"
