"original_name";"name_clear"
"Pogonomyrmex maricopa";"Pogonomyrmex maricopa"
"Conomyrma bicolor";"Conomyrma bicolor"
"Iridomyrmex pruinosis";"Iridomyrmex pruinosis"
"Myrmecosystus romainei";"Myrmecosystus romainei"
"Pheidole militicida";"Pheidole militicida"
"Canthon ebenus";"Canthon ebenus"
"C. melanus";"Canthon melanus"
"Phanaeus difformis";"Phanaeus difformis"
"Eleodes carbonarius";"Eleodes carbonarius"
"E. fusiformis";"Eleodes fusiformis"
"Eusattus reticularis";"Eusattus reticularis"
"Saprinus pennsylvanicus";"Saprinus pennsylvanicus"
"Philonthus sp.";"Philonthus"
"Aleochara sp.";"Aleochara"
"Ravinia l'herminieri";"Ravinia l'herminieri"
"R. planifrons";"Ravinia planifrons"
"Oxysarcodexia conclausa";"Oxysarcodexia conclausa"
"Semiothisa sp.";"Semiothisa"
"Bulia deducta";"Bulia deducta"
"Gryllus integer";"Gryllus integer"
"Ammobaenetes phrixocnemoides";"Ammobaenetes phrixocnemoides"
"Stenopelmatus fuscus";"Stenopelmatus fuscus"
"Psilochorus imitatus";"Psilochorus imitatus"
"Lycosa coloradensis";"Lycosa coloradensis"
"R. l'herminieri larvae";"Ravinia l'herminieri"
"R. planifrons larvae";"Ravinia planifrons"
"O. conclausa larvae";"Oxysarcodexia conclausa"
"bovine or equine dung";"Detritus"
