"name";"bold";"eol";"tsn";"ncbi"
"Pogonomyrmex maricopa";"83523";"21280499";"154234";"144040"
"Conomyrma bicolor";NA;NA;NA;NA
"Iridomyrmex pruinosis";NA;NA;NA;NA
"Myrmecosystus romainei";NA;NA;NA;NA
"Pheidole militicida";"78099";"24677555";"581084";"458954"
"Canthon ebenus";NA;"13576142";"927462";NA
"Canthon melanus";"379785";"31019543";"927473";NA
"Phanaeus difformis";"379804";"24603775";"927644";NA
"Eleodes carbonarius";NA;"7007810";NA;NA
"Eleodes fusiformis";"382236";"21912866";NA;NA
"Eusattus reticularis";NA;NA;NA;NA
"Saprinus pennsylvanicus";"489832";NA;NA;NA
"Philonthus";"2988";"12148848";"186388";"219450"
"Aleochara";"71378";"12524694";"640982";"135866"
"Ravinia l'herminieri";NA;NA;NA;NA
"Ravinia planifrons";"668221";"24705068";"151884";"1266476"
"Oxysarcodexia conclausa";"853681";"24707522";NA;NA
"Semiothisa";"7706";"12015855";"189257";"214344"
"Bulia deducta";"90038";"14980723";"938021";"935717"
"Gryllus integer";"643039";"26226598";"658222";"128157"
"Ammobaenetes phrixocnemoides";NA;"30921731";"657867";NA
"Stenopelmatus fuscus";"487829";"15002478";"102384";"202428"
"Psilochorus imitatus";NA;"31221378";"865954";"2068986"
"Lycosa coloradensis";NA;NA;NA;NA
