"name";"bold";"eol";"tsn";"ncbi"
"Lepus californicus";"228603";"12095295";"727826";"48087"
"Blaesoxipha plinthopyga";"32620";"21007316";NA;"128954"
"Boreocanthon puncticollis";NA;"24639579";NA;NA
"Dermestes marmoratus";"596088";"21386377";"728086";NA
"Eleodes longicollis";"382244";"21388911";NA;NA
"Embaphion";"383182";"21911187";NA;NA
"Nicrophorus marginatus";"109982";"13551865";"718738";"64901"
"Novomessor cockerelli";"716174";"21928359";NA;"602603"
"Crematogaster clara";NA;NA;NA;NA
"Syspira longipes";"747320";"31861368";"889886";NA
"Psilochorus utahensis";NA;"31118889";"865975";NA
"Creophilus maxillosus";"247521";"12121195";"186413";"623683"
