"sp_taxon_1";"sp_taxon_2";"value";"type";"direction"
"Quichuana augustriventris";"floral parts";"1";"herbivory";"directed"
"Quichuana augustriventris";"detritus";"1";"commensalism";"directed"
"Copestuylum roraima";"floral parts";"1";"herbivory";"directed"
"Copestuylum roraima";"detritus";"1";"commensalism";"directed"
"Copestuylum roraima";"nectar";"1";"herbivory";"directed"
"Cephaloleia neglecta";"floral parts";"1";"herbivory";"directed"
"Gillisius sp. #3";"floral parts";"1";"herbivory";"directed"
"Gillisius sp. #3";"detritus";"1";"commensalism";"directed"
"Cephaloleia neglecta";"Cephaloleia neglecta";"1";"competition";"undirected"
"Cephaloleia neglecta";"Copestuylum roraima";"1";"competition";"undirected"
"Gillisius sp. #3";"Cephaloleia neglecta";"1";"symbiosis";"undirected"
