sp_taxon_1;sp_taxon_2;value
Chiroxiphia caudata;Myrsine coriacea;1
Chiroxiphia caudata;Ficus luschnatiana;1
Chiroxiphia caudata;Coussapoa microcarpa;1
Chiroxiphia caudata;Myrsine lancifolia;1
Chiroxiphia caudata;Cecropia glaziovi;1
Chiroxiphia caudata;Cupania vernalis;1
Chiroxiphia caudata;Miconia pusilliflora;1
Chiroxiphia caudata;Trema micrantha;1
Chiroxiphia caudata;Symplocos glanduloso-marginata;1
Chiroxiphia caudata;Miconia budlejoides;1
Chiroxiphia caudata;Miconia valtherii;1
Chiroxiphia caudata;Leandra dasytricha;1
Chiroxiphia caudata;Alchornea triplinervia;1
Chiroxiphia caudata;Rubus rosaefolius;1
Chiroxiphia caudata;Miconia racemifera;1
Chiroxiphia caudata;Schinus terebinthifolius;1
Chiroxiphia caudata;Miconia latecrenata;1
Chiroxiphia caudata;Ossaea amygdaloides;1
Chiroxiphia caudata;Allophylus edulis;1
Chiroxiphia caudata;Miconia theaezans;1
Chiroxiphia caudata;Myrcia grandiflora;1
Chiroxiphia caudata;Nectandra membranacea;1
Chiroxiphia caudata;Clusia criuva;1
Chiroxiphia caudata;Marcgravia polyantha;1
Chiroxiphia caudata;Psychotria vellosiana;1
Chiroxiphia caudata;Amaioua intermedia;1
Chiroxiphia caudata;Ocotea puberula;1
Chiroxiphia caudata;Psychotria longipes;1
Chiroxiphia caudata;Struthanthus vulgaris;1
Chiroxiphia caudata;Fuchsia regia;1
Chiroxiphia caudata;Maytenus robustus;1
Chiroxiphia caudata;Piper dilatatum;1
Chiroxiphia caudata;Psychotria suterella;1
Chiroxiphia caudata;Miconia brasiliensis;1
Chiroxiphia caudata;Miconia discolor;1
Chiroxiphia caudata;Tournefortia paniculata;1
Chiroxiphia caudata;Leandra laevigata;1
Chiroxiphia caudata;Leandra refracta;1
Chiroxiphia caudata;Piper corintoanum;1
Chiroxiphia caudata;Rudgea jasminoides;1
Chiroxiphia caudata;Solanum inodorum;1
Chiroxiphia caudata;Leandra sabiaensis;1
Chiroxiphia caudata;Miconia cabucu;1
Chiroxiphia caudata;Miconia tristis;1
Chiroxiphia caudata;Mollinedia boracensis;1
Chiroxiphia caudata;Psychotria leiocarpa;1
Chiroxiphia caudata;Cordia corymbosa;1
Chiroxiphia caudata;Inga marginata;1
Chiroxiphia caudata;Leandra regnellii;1
Chiroxiphia caudata;Symplocos variabilis;1
