"Stewart, T.J., and Sprules, W.G. (2011). Carbon-based balanced trophic structure and flows in the offshore Lake Ontario food web before (1987–1991) and after (2001–2005) invasion-induced ecosystem change. Ecological Modelling. 222, pp. 692-708.",,,,,,,,,,,,,,,,,,
Lake Ontario - 1987-1991 - U.S.A.,Heterotrophic bacteria,Nanoflagellates and ciliates,Rotifers and veligers,Large cladocerans,Small cladocerans,Copepods,Dreissenid mussels,Diporeia,Other benthos,Mysis,Smelt algae 1 and older,Smelt YOY,Adult sculpin,Juvenile sculpin,Late YOY and older alewife,Early YOY alewife,Chinook salmon,Other salmonines
Phytoplankton,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Heterotrophic bacteria,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Nanoflagellates and ciliates,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Rotifers and veligers,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Large cladocerans,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Small cladocerans,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0
Copepods,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0
Dreissenid mussels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diporeia,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
Other benthos,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
Mysis,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
Smelt algae 1 and older,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Smelt YOY,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Adult sculpin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Juvenile sculpin,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Late YOY and older alewife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Early YOY alewife,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Chinook salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other salmonines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dissolved organic carbon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Particulate organic carbon,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Sediment,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
