"name";"bold";"eol";"tsn";"ncbi"
"Ephemerella subvaria";"16420";"20932985";"101241";"248228"
"Hydropsyche sparna";"101394";"20900682";NA;"908146"
"Hydropsyche morosa";"101396";"21000100";NA;"1095303"
"Microinorganic particles";NA;NA;NA;NA
"Chitin fragments";NA;NA;NA;NA
"Chironomidae ";NA;NA;"127917";"7149"
"Agnetina capitata";"150214";"24126047";"102979";"178279"
"Paragnetina media";"95737";"17038735";"102968";"178293"
"Rhyacophila fuscula";"95653";"21289263";"115133";"177635"
"Optioservus fastiditus";"124326";"31114963";"114190";"1277695"
"Stenelmis bicarinata";"491934";"31069981";"114100";NA
"Promoresia elegans";"491933";"31124064";NA;NA
"Paraleptophlebia adoptiva";NA;"24863377";"101203";"551857"
"Brachyptera fasciata";"182802";"20943601";NA;NA
"Paracapnia angulata";"150227";"24139276";"102805";"143701"
"Dolophilodes distinctus";"32203";"24120623";"115322";"98977"
"Glossosoma";"5758";"12149139";"117164";"177619"
"Glossosoma nigrior";"32257";"24129843";"117164";"177620"
"Nais simplex";NA;"19529511";"68957";NA
"Rheosmittia";"141698";"30456238";"129107";"611385"
"Eukiefferiella brehmi";NA;"12921327";"128704";NA
"Stempellina montivaga";NA;NA;NA;NA
"Eukiefferiella gracei";NA;"15595230";"128705";"1042854"
