"original_name";"name_clear"
"Spartina";"Spartina"
"Prokelisia";"Prokelisia"
"Orchelimum";"Orchelimum"
"Other herbivorous insects";"Insecta"
"Algae";"Algae"
"Bacteria";"Bacteria"
"Uca";"Uca"
"Sesarma";"Sesarma"
"Modiolus";"Modiolus"
"Littorina";"Littorina"
"Oligochaete";"Oligochaeta"
"Streblospio";"Streblospio"
"Capitella";"Capitella"
"Manayunkia";"Manayunkia"
"Spiders";"Araneae"
"Passerines";"Passeriformes"
"Dragonflies";"Anisoptera"
"Eurytium";"Eurytium"
"Clapper rail";"Rallus crepitans"
"Raccoon";"Procyon lotor"
