"name";"bold";"eol";"tsn";"ncbi"
"Spartina";"120881";"11952585";"41271";"15853"
"Prokelisia";"486683";"24164821";"902804";"33363"
"Orchelimum";"4664";"32656984";"102237";"219555"
"Uca";"5660";"11301382";"814";"53313"
"Sesarma";"159115";"10206644";"99045";"39557"
"Modiolus";"2457";"11091938";"79504";"40255"
"Streblospio";"32478";"12353184";"66938";"95537"
"Capitella";"190326";"29674569";"5314";"51293"
"Manayunkia";"32039";"12485626";"68169";"184866"
"Eurytium";"322342";"12818069";"98791";"108120"
"Rallus crepitans";NA;"10660955";NA;"1567149"
"Procyon lotor";"12550";"12092962";"727466";"9654"
