"R.M. Thompson and C.R. Townsend. (2004). Land-use influences on New Zealand stream communities: effects of species composition, functional organisation, and food-web structure. New Zealand Journal of Marine and Freshwater Research. 38, pp. 595-608.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venlaw stream - 2 yrs post harvest - New Zealand,Ameletopsis perscitus (Eaton),Aphrophila spp.,Austroperla cyrene,Austrosimulium australense,Coloburiscus humeralis (Walker),Costachorema xanthoptera,Cricotopus sp. I (Cranston),Cricotopus II,Cricotopus sp. III,Deleatidium,Eukiefidriella,Helicopsyche albescens (Tillyard),Hudsonema amabilis,Hydora nitida (larva) (Broun),Hydrobiosella stenocerca (Tillyard),Hydrobiosis parumbripennis,Oligochaeta lumbriculiid purple,Oligochaeta lumbriculiid white,Maoridiamesa spp.,Megaleptoperla grandis (Newman),Nannochorista,Naonella,nymph,Oligochaeta lumbr blue,Oligochaeta type II,Oligochaeta lumbriculiid pink,Oligochaeta type 'weak/long' ,Orthocladiinae unknown spp. 1,Orthocladiinae unknown spp. 2,Oxyethira albiceps (McLachlan),phrea,Paralimnophila skusei (Hutton),Paratanytarsus spp.,Pirara matakiri (Boothroyd and Cranston),Potamopyrgus antipodarum (Gray),Psilochorema bidens (McFarlane),Pycnocentria spp.,Rhabdomastrix sp. ,Stenoperla prasinia,Stictoclcaius,Tanytarsus verspertinus,Zelandobius spp. nr confusus (Hare),Zelandoperla fenestrata (McLellan),Paranephrops zealandicus (White),Salmo trutta
Unidentified detritus,2,3,3,3,3,0,3,3,3,0,3,3,3,3,0,0,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,0
Plant material,0,4,4,4,0,0,3,3,3,0,2,3,3,0,0,0,3,3,3,3,0,3,3,3,3,3,3,0,0,3,3,3,1,2,0,0,3,4,3,3,0,3,3,3,0
Fungi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Achnanthes inflata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Achnanthes linearis,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,2,3,0,0
Achnanthes minutissima,0,2,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,3,0,0
Aucalosira,0,0,0,2,1,0,1,1,2,0,1,1,1,1,0,0,1,1,2,0,1,2,2,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,2,0,0
Audouniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue green algae,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cocconeis placentula,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
Diatoma elongatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Diatoma heimale,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fragilaria vaucheriae,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Frustulia rhomboides,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frustv,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphoneis herculeana,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gomphonema angustatum,0,2,3,2,0,0,2,2,3,4,1,0,0,3,0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,4,0,0
gomclev,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphonema intricatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
Gomphonema parvulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Gomphonema sp. 4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphonema sp. 3,0,1,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Gomphonema subclavatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphonema truncatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Unknown green algal cells,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula avenacea,0,4,3,3,0,0,1,1,2,3,1,0,0,0,0,0,1,0,3,3,0,1,1,2,0,0,0,3,3,0,2,0,0,0,0,0,0,0,3,0,0,2,4,0,0
Nitzschia linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia palea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
pras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhoicosphenia curvata,0,0,3,3,0,0,3,3,2,3,0,0,0,3,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,0,3,0,0
Sphaerium spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surirella elegans,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0
surova,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synedra rumpens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Synedra ulna,0,4,2,3,0,0,2,2,1,3,2,0,0,0,0,0,3,2,4,3,0,0,2,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,1,0,0,3,2,0,0
Ameletopsis perscitus (Eaton),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
