"sp_taxon_1";"sp_taxon_2";"value";"type"
"Frenesia";"detritus";"1";"commensalism"
"Gammarus";"detritus";"1";"commensalism"
"tendipedid";"detritus";"1";"commensalism"
"Physa";"detritus";"1";"commensalism"
"Cardiocladius";"detritus";"1";"commensalism"
"Tubifex";"detritus";"1";"commensalism"
"Rhantus";"Frenesia";"1";"predation"
"Rhantus";"Gammarus";"1";"predation"
"Rhantus";"Cardiocladius";"1";"predation"
"Chauliodes";"Frenesia";"1";"predation"
"Chauliodes";"Gammarus";"1";"predation"
"Pentaneura";"detritus";"1";"commensalism"
"Pentaneura";"Gammarus";"1";"predation"
"Pentaneura";"tendipedid";"1";"predation"
"Pentaneura";"Tubifex";"1";"predation"
"Phagocata";"Gammarus";"1";"predation"
"Phagocata";"tendipedid";"1";"predation"
"Phagocata";"Cardiocladius";"1";"predation"
"Phagocata";"Tubifex";"1";"predation"
"Phagocata";"Pentaneura";"1";"predation"
