"sp_taxon_1";"sp_taxon_2";"value"
"Mandrillus sphinx";"Ficus sp1 ";1
"Mandrillus sphinx";"Pseudospondias longifolia";1
"Mandrillus sphinx";"Elaeis guineensis";1
"Mandrillus sphinx";"Tetrapleura tetraptera";1
"Mandrillus sphinx";"Unidentified sp1 ";1
"Mandrillus sphinx";"Xylopia sp1 ";1
"Mandrillus sphinx";"Detarium macrocarpum";1
"Mandrillus sphinx";"Duboscia macrocarpa";1
"Mandrillus sphinx";"Ongokea gore";1
"Mandrillus sphinx";"Pentaclethra sp1 ";1
"Mandrillus sphinx";"Unidentified sp2 ";1
"Mandrillus sphinx";"Marantochloa sp1 ";1
"Cercocebus albigena";"Ficus sp1 ";1
"Cercocebus albigena";"Pseudospondias longifolia";1
"Cercocebus albigena";"Elaeis guineensis";1
"Cercocebus albigena";"Tetrapleura tetraptera";1
"Cercocebus albigena";"Berlinia bracteosa";1
"Cercocebus albigena";"Pycnanthus angolensis";1
"Cercocebus albigena";"Xylopia sp1 ";1
"Cercocebus albigena";"Duboscia macrocarpa";1
"Cercocebus albigena";"Milicia excelsa";1
"Cercocebus albigena";"Ongokea gore";1
"Cercocebus albigena";"Pentaclethra sp1 ";1
"Cercopithecus nictitans";"Ficus sp1 ";1
"Cercopithecus nictitans";"Pseudospondias longifolia";1
"Cercopithecus nictitans";"Elaeis guineensis";1
"Cercopithecus nictitans";"Tetrapleura tetraptera";1
"Cercopithecus nictitans";"Berlinia bracteosa";1
"Cercopithecus nictitans";"Pycnanthus angolensis";1
"Cercopithecus nictitans";"Unidentified sp1 ";1
"Cercopithecus nictitans";"Xylopia sp1 ";1
"Cercopithecus nictitans";"Detarium macrocarpum";1
"Cercopithecus nictitans";"Pentadesma butyracea";1
"Cercopithecus nictitans";"Milicia excelsa";1
"Cercopithecus cephus";"Ficus sp1 ";1
"Cercopithecus cephus";"Pseudospondias longifolia";1
"Cercopithecus cephus";"Elaeis guineensis";1
"Cercopithecus cephus";"Tetrapleura tetraptera";1
"Cercopithecus cephus";"Berlinia bracteosa";1
"Cercopithecus cephus";"Pycnanthus angolensis";1
"Cercopithecus cephus";"Unidentified sp1 ";1
"Cercopithecus cephus";"Xylopia sp1 ";1
"Cercopithecus cephus";"Detarium macrocarpum";1
"Cercopithecus cephus";"Pentadesma butyracea";1
"Gorilla gorilla";"Ficus sp1 ";1
"Gorilla gorilla";"Pseudospondias longifolia";1
"Gorilla gorilla";"Unidentified sp1 ";1
"Gorilla gorilla";"Detarium macrocarpum";1
"Gorilla gorilla";"Duboscia macrocarpa";1
"Gorilla gorilla";"Pentadesma butyracea";1
"Gorilla gorilla";"Milicia excelsa";1
"Gorilla gorilla";"Unidentified sp2 ";1
"Gorilla gorilla";"Marantochloa sp1 ";1
"Cercopithecus pogonias";"Ficus sp1 ";1
"Cercopithecus pogonias";"Pseudospondias longifolia";1
"Cercopithecus pogonias";"Elaeis guineensis";1
"Cercopithecus pogonias";"Tetrapleura tetraptera";1
"Cercopithecus pogonias";"Berlinia bracteosa";1
"Cercopithecus pogonias";"Pycnanthus angolensis";1
"Cercopithecus pogonias";"Xylopia sp1 ";1
"Pan troglodytes";"Ficus sp1 ";1
"Pan troglodytes";"Pseudospondias longifolia";1
"Pan troglodytes";"Elaeis guineensis";1
"Pan troglodytes";"Pycnanthus angolensis";1
"Pan troglodytes";"Unidentified sp1 ";1
"Pan troglodytes";"Duboscia macrocarpa";1
"Pan troglodytes";"Unidentified sp2 ";1
"Colobus satanas";"Tetrapleura tetraptera";1
"Colobus satanas";"Berlinia bracteosa";1
"Colobus satanas";"Pentadesma butyracea";1
"Colobus satanas";"Ongokea gore";1
"Colobus satanas";"Pentaclethra sp1 ";1
