"name";"bold";"eol";"ncbi";"tsn"
"Pseudospondias longifolia";NA;"16291056";NA;NA
"Elaeis guineensis";"285251";"12132637";"506719";"51953"
"Tetrapleura tetraptera";"428307";"14070731";NA;"148728"
"Xylopia";"194969";"11946092";"500705";"225838"
"Detarium macrocarpum";"428474";"16024948";NA;"162739"
"Duboscia macrocarpa";"512672";"15466199";NA;NA
"Ongokea gore";"431273";"14937682";"506561";"350425"
"Pentaclethra";"252358";"12209003";"500725";"148715"
"Marantochloa";"430595";"13519597";"500777";"4624"
"Berlinia bracteosa";NA;"15464325";NA;"859841"
"Pycnanthus angolensis";"512627";"13520016";NA;"224864"
"Milicia excelsa";"285232";"12442135";"823752";"58664"
"Pentadesma butyracea";"316204";"14881727";"506119";"198785"
"Mandrillus sphinx";"53165";"15560621";"573031";"9561"
"Cercocebus albigena";NA;"21903526";NA;"75567"
"Cercopithecus nictitans";"195561";"14014398";"573008";"36228"
"Cercopithecus cephus";"12478";"15468231";"572998";"9535"
"Gorilla gorilla";"12438";"14345728";"573080";"9593"
"Cercopithecus pogonias";"195560";"16290453";"573010";"102108"
"Pan troglodytes";"12441";"11338455";"945357";"9598"
"Colobus satanas";"647700";"15560390";"573038";"517012"
