"sp_taxon_1";"sp_taxon_2";"value";"type"
"Hemiptera";"Leaves";"1";"herbivory"
"Orthoptera";"Leaves";"1";"herbivory"
"Diptera";"Sap";"1";"herbivory"
"Diptera";"Plant juices";"1";"herbivory"
"Homoptera";"Sap";"1";"herbivory"
"Homoptera";"Plant juices";"1";"herbivory"
"Homoptera";"Leaves";"1";"herbivory"
"Lepidoptera";"Leaves";"1";"herbivory"
"Rabbit";"Leaves";"1";"herbivory"
"Rabbit";"Roots";"1";"herbivory"
"Rabbit";"Bark";"1";"herbivory"
"Rabbit";"Wood";"1";"herbivory"
"Coleoptera";"Dead organic material";"1";"commensalism"
"Deermice";"Roots";"1";"herbivory"
"Deermice";"Bark";"1";"herbivory"
"Deermice";"Wood";"1";"herbivory"
"Wood-borers";"Roots";"1";"herbivory"
"Weevils";"Roots";"1";"herbivory"
"Wood-borers";"Bark";"1";"herbivory"
"Weevils";"Bark";"1";"herbivory"
"Wood-borers";"Wood";"1";"herbivory"
"Weevils";"Wood";"1";"herbivory"
"Hymenoptera";"Leaves";"1";"herbivory"
"Hymenoptera";"Flowers";"1";"herbivory"
"Indigo bunting";"Diptera";"1";"predation"
"Indigo bunting";"Coleoptera";"1";"predation"
"Shrew";"Deermice";"1";"predation"
"Wood thrush";"Diptera";"1";"predation"
"Wood thrush";"Homoptera";"1";"predation"
"Wood thrush";"Lepidoptera";"1";"predation"
"Wood thrush";"Coleoptera";"1";"predation"
"Wood thrush";"Hymenoptera";"1";"predation"
"Arachnids";"Diptera";"1";"predation"
"Maryland yellow-throat";"Diptera";"1";"predation"
"Maryland yellow-throat";"Homoptera";"1";"predation"
"Maryland yellow-throat";"Lepidoptera";"1";"predation"
"Maryland yellow-throat";"Coleoptera";"1";"predation"
"Maryland yellow-throat";"Arachnids";"1";"predation"
"Fox squirrel";"Acorns";"1";"herbivory"
"Fox squirrel";"Leaves";"1";"herbivory"
"Downy woodpecker";"Diptera";"1";"predation"
"Downy woodpecker";"Lepidoptera";"1";"predation"
"Downy woodpecker";"Coleoptera";"1";"predation"
"Crested flycatcher";"Hemiptera";"1";"predation"
"Crested flycatcher";"Orthoptera";"1";"predation"
"Crested flycatcher";"Diptera";"1";"predation"
"Crested flycatcher";"Homoptera";"1";"predation"
"Crested flycatcher";"Lepidoptera";"1";"predation"
"Crested flycatcher";"Arachnids";"1";"predation"
"Tufted titmouse";"Orthoptera";"1";"predation"
"Tufted titmouse";"Diptera";"1";"predation"
"Tufted titmouse";"Homoptera";"1";"predation"
"Tufted titmouse";"Coleoptera";"1";"predation"
"Tufted titmouse";"Hymenoptera";"1";"predation"
"Tufted titmouse";"Arachnids";"1";"predation"
"White-breasted nuthatch";"Homoptera";"1";"predation"
"White-breasted nuthatch";"Wood-borers";"1";"predation"
"White-breasted nuthatch";"Weevils";"1";"predation"
"White-breasted nuthatch";"Arachnids";"1";"predation"
"Red-eyed vireo";"Diptera";"1";"predation"
"Red-eyed vireo";"Homoptera";"1";"predation"
"Red-eyed vireo";"Lepidoptera";"1";"predation"
"Red-eyed vireo";"Coleoptera";"1";"predation"
"Red-eyed vireo";"Arachnids";"1";"predation"
"Red-headed woodpecker";"Diptera";"1";"predation"
"Red-headed woodpecker";"Lepidoptera";"1";"predation"
"Red-headed woodpecker";"Coleoptera";"1";"predation"
"Red-headed woodpecker";"Wood-borers";"1";"predation"
"Red-headed woodpecker";"Weevils";"1";"predation"
"Red-headed woodpecker";"Hymenoptera";"1";"predation"
"Red-headed woodpecker";"Crested flycatcher";"1";"predation"
"Cat";"Deermice";"1";"predation"
"Cat";"Indigo bunting";"1";"predation"
"Barred owl";"Rabbit";"1";"predation"
"Barred owl";"Deermice";"1";"predation"
"Barred owl";"Indigo bunting";"1";"predation"
"Barred owl";"Shrew";"1";"predation"
"Barred owl";"Fox squirrel";"1";"predation"
"Barred owl";"Downy woodpecker";"1";"predation"
