"original_name";"name_clear"
"Hemiptera";"Hemiptera"
"Orthoptera";"Orthoptera"
"Diptera";"Diptera"
"Homoptera";"Homoptera"
"Lepidoptera";"Lepidoptera"
"Rabbit";"Leporidae"
"Coleoptera";"Coleoptera"
"Deermice";"Peromyscus"
"Wood-borers";"Insectae"
"Weevils";"Curculionidae"
"Hymenoptera";"Hymenoptera"
"Indigo bunting";"Passerina cyanea"
"Shrew";"Soricidae"
"Wood thrush";"Hylocichla mustelina"
"Arachnids";"Arachnida"
"Maryland yellow-throat";"Geothlypis trichas"
"Fox squirrel";"Sciurus niger"
"Downy woodpecker";"Picoides pubescens"
"Crested flycatcher";"Myiarchus crinitus"
"Tufted titmouse";"Baeolophus bicolor"
"White-breasted nuthatch";"Sitta carolinensis"
"Red-eyed vireo";"Vireo olivaceus"
"Red-headed woodpecker";"Melanerpes erythrocephalus"
"Cat";"Felis catus"
"Barred owl";"Strix varia"
"Leaves";"Plantae"
"Sap";"Plantae"
"Plant juices";"Plantae"
"Roots";"Plantae"
"Bark";"Plantae"
"Wood";"Plantae"
"Dead organic material";"Detritus"
"Flowers";"Plantae"
"Acorns";"Quercus"
