"name";"bold";"eol";"tsn";"ncbi"
"Oxytelus tetracarinatus";NA;NA;NA;NA
"Cercyon";"82595";"12102248";"113043";"41103"
"Musca autumnalis";"26517";"12436281";"150250";"221902"
"Philonthus cruentatus";"309314";"13355736";NA;"878354"
"Aleochara bipustulata";"82669";"13348081";"725938";"135919"
"Macrochelys";"201868";"13552292";"668667";"571337"
"Aphodius haemorrhoidalis";"172280";"21462638";NA;"207159"
"Aphodius erraticus";"172310";"32071615";NA;"207147"
"Aphodius stercorosus";"722159";"20020715";NA;NA
"Aphodius prodiomus";NA;NA;NA;NA
"Aphodius fossor";"172263";"21639126";NA;"207151"
"Sphaeridium lunatum";"330272";"13051152";"112937";"878990"
"Sepsis neocynipsea";"164866";"13479157";"145024";"517489"
"Sepsis";"164853";"12384468";"145013";"137507"
"Saltella sphondylii";"83298";"13046992";"144984";"292389"
"Hyponigrus obsidianus";NA;NA;NA;NA
"Cothonaspis";"166943";"24670643";NA;"303498"
"Acrotrichis";"166091";"13050226";"186567";"280319"
"Aphodius";"87501";"12129034";"926359";"166307"
"Oxyteline";NA;NA;NA;NA
