"I. Valiela. (1974). Composition, Food Webs and Population Limitation in Dung Arthropod Communities During Invasion and Succession. American Midland Naturalist. 92(2), pp. 370-385.",,,,,,,,,,,,,,,,,,,,,,,,,
Bovine dung (day 1) New York pasture - USA,Philonthus cruentatus,Aleochara bipustulata,Aleochara sp.,Oxytelus tetracarinatus,Macrochelus sp.,Parasitus sp.,Uropodid sp.,Acarid sp.,Aphodius haemorrhoidalis,A. erraticus,A. fimetarius,A. stercorosus,A. prodiomus,A. fossor,Cercyon sp. A,Cercyon sp. B,Cercyon sp. C,Cercyon sp. F,Sarcophaga sp.,Ravinia l'herminieri,Musca autumnalis,Collembola (unspecified),Sphaeridium bipostulatum,S. scarabaeoides,S. lunatum
Oxytelus tetracarinatus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrochelus sp.,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasitus sp.,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uropodid sp.,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acarid sp.,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cercyon sp. A,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cercyon sp. B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cercyon sp. C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cercyon sp. F,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcophaga sp.,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravinia l'herminieri,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musca autumnalis,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collembola (unspecified),0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dung,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
