"sp_taxon_1";"sp_taxon_2";"value";"type"
"Polycelis tenuis (Ijima)";"Small oligochaetes (principally Enchytraeidae)";"1";"predation"
"Polycelis tenuis (Ijima)";"Lumbriculus variegatus (Muller)";"1";"predation"
"Polycelis tenuis (Ijima)";"Procladius sagittalis (Kieffer)";"1";"predation"
"Polycelis tenuis (Ijima)";"Corynoneura scutellata Winnertz";"1";"predation"
"Polycelis tenuis (Ijima)";"Chironomus dorsalis Meigen";"1";"predation"
"Polycelis tenuis (Ijima)";"Glyptotendipes pallens (Meigen)";"1";"predation"
"Polycelis tenuis (Ijima)";"Tanytarsus bruchonius Reiss and Fittkau";"1";"predation"
"Polycelis tenuis (Ijima)";"Other Chironomidae";"1";"predation"
"Small oligochaetes (principally Enchytraeidae)";"Detritus";"1";"commensalism"
"Lumbriculus variegatus (Muller)";"Detritus";"1";"commensalism"
"Oribatei sp.";"Detritus";"1";"commensalism"
"Argyroneta aquatica (Clerk)";"Lumbriculus variegatus (Muller)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Oribatei sp.";"1";"predation"
"Argyroneta aquatica (Clerk)";"Scaphaloberis mucronata (Muller)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Chydorus latus Sars";"1";"predation"
"Argyroneta aquatica (Clerk)";"Acanthocyclops vernalis (Fischer)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Callicorixa praeusta (Fieber)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Corixa dentipes (Thomson)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Corixa punctata (Illinger)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Hesperocorixa linnei (Fieber)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Hesperocorixa sahlbergi (Fieber)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Arctocorisa germari (Fieber)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Sigaria semistraiata (Fieber)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Holocentropus picicornis (Stephens)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Limnephilus marmoratus Curtis";"1";"predation"
"Argyroneta aquatica (Clerk)";"Procladius sagittalis (Kieffer)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Corynoneura scutellata Winnertz";"1";"predation"
"Argyroneta aquatica (Clerk)";"Chironomus dorsalis Meigen";"1";"predation"
"Argyroneta aquatica (Clerk)";"Glyptotendipes pallens (Meigen)";"1";"predation"
"Argyroneta aquatica (Clerk)";"Tanytarsus bruchonius Reiss and Fittkau";"1";"predation"
"Argyroneta aquatica (Clerk)";"Other Chironomidae";"1";"predation"
"Scaphaloberis mucronata (Muller)";"Detritus";"1";"commensalism"
"Chydorus latus Sars";"Detritus";"1";"commensalism"
"Acanthocyclops vernalis (Fischer)";"Small oligochaetes (principally Enchytraeidae)";"1";"predation"
"Acanthocyclops vernalis (Fischer)";"Chydorus latus Sars";"1";"predation"
"Acanthocyclops vernalis (Fischer)";"Acanthocyclops vernalis (Fischer)";"1";"predation"
"Acanthocyclops vernalis (Fischer)";"Corynoneura scutellata Winnertz";"1";"predation"
