"name";"bold";"eol";"tsn";"ncbi"
"Enchytraeidae";"32991";"11948689";"68510";"6388"
"Lumbriculus variegatus";"30118";"12503755";"68444";"61662"
"Procladius sagittalis";"371462";"13376922";NA;"1278996"
"Chironomus dorsalis";"296250";"15616724";NA;"392843"
"Glyptotendipes pallens";"296269";"13381064";"568534";"136010"
"Tanytarsus bruchonius";NA;NA;NA;NA
"Oribatida";NA;"21617325";"733520";"66551"
"Scaphaloberis mucronata";NA;NA;NA;NA
"Chydorus latus";NA;"19502258";"84002";NA
"Acanthocyclops vernalis";"500043";"24665727";"88770";"245077"
"Callicorixa praeusta";"255511";"12484239";"103519";"1977099"
"Corixa dentipes";"678020";"12486135";"103481";"280183"
"Corixa punctata";"462105";"12503387";"103483";"1545103"
"Hesperocorixa linnei";NA;NA;NA;NA
"Hesperocorixa sahlbergi";"255512";"12484061";NA;"1545143"
"Arctocorisa germari";"374910";"13370847";NA;"2133930"
"Sigaria semistraiata";NA;NA;NA;NA
"Holocentropus picicornis";"137612";"13475870";"600576";"1223778"
"Limnephilus marmoratus";"126512";"13353429";"605522";"1271730"
"Enallagma cyathigerum";"173355";"12361408";"102124";"79468"
"Lestes sponsa";"248198";"12364417";NA;"197164"
"Notonecta glauca";"198467";"24678200";"103578";"260537"
"Hydroporus erythrocephalus";"172618";"13037283";"813078";"110022"
"Agabus sturmii";"171687";"13346199";"811240";"207462"
"Agabus bipustulatus";"169027";"13342543";"811334";"107770"
"Ilybius fuliginosus";"169012";"13344273";"112183";"156956"
"Sialis lutaria";"361829";"13337669";NA;"279420"
"Argyroneta aquatica";"82356";"13340932";"874490";"375087"
"Sympetrum scoticum";NA;NA;NA;NA
"Dytiscus marginalis";"105850";"12384380";"112128";"398601"
"Polycelis tenuis";"173906";"14548051";"204230";"66754"
