"sp_taxon_1";"sp_taxon_2";"value";"type"
"Crematogaster laeviuscula";"Olla V-nigrum";"1";"predation"
"Crematogaster laeviuscula";"Cyathissa percara";"1";"predation"
"Crematogaster laeviuscula";"Phoradendron tomentosum";"1";"parasitism"
"Olla V-nigrum";"aphids (unspecified)";"1";"predation"
"Chrysopis sp.";"aphids (unspecified)";"1";"predation"
"Oecanthus niveus";"aphids (unspecified)";"1";"predation"
"Tacoma feriella";"Phoradendron tomentosum";"1";"herbivory"
"Casinaria limenitides";"Cyathissa percara";"1";"parasitism"
"Phytocoris breviusculus";"Cyathissa percara";"1";"predation"
"Podisus acutissimus";"Cyathissa percara";"1";"predation"
"Largus cinctus";"Cyathissa percara";"1";"predation"
"Largus cinctus";"Prosopis juliflora";"1";"herbivory"
"Metadontia amoena";"Atlides halesus";"1";"predation"
"Apanteles cp.";"Tacoma feriella";"1";"predation"
"Apanteles cp.";"Atlides halesus";"1";"predation"
"Vanduzea laeta";"Phoradendron tomentosum";"1";"herbivory"
"pseudococcids (unspecified)";"Phoradendron tomentosum";"1";"herbivory"
"Lecanium sp.";"Phoradendron tomentosum";"1";"herbivory"
"aphids (unspecified)";"Phoradendron tomentosum";"1";"herbivory"
"Leptoglossus brevirostris";"Phoradendron tomentosum";"1";"herbivory"
"Cyathissa percara";"Phoradendron tomentosum";"1";"herbivory"
"Atlides halesus";"Phoradendron tomentosum";"1";"herbivory"
"Aphrastus unicolor";"Phoradendron tomentosum";"1";"herbivory"
"Myrmex sp. (prob. estriatus)";"Phoradendron tomentosum";"1";"herbivory"
"Smiracraulax tuberculatus";"Phoradendron tomentosum";"1";"herbivory"
"Phoradendron tomentosum";"Prosopis juliflora";"1";"parasitism"
