"name";"bold";"eol";"tsn";"ncbi"
"Olla v-nigrum";"372643";"13557022";"187031";"245892"
"Cyathissa percara";NA;"24686146";NA;NA
"Phoradendron tomentosum";"619990";"26327140";NA;"3969"
"Aphidoidea";NA;"22242765";"109190";"33385"
"Atlides halesus";"85364";"13555853";"777807";NA
"Tacoma feriella";"558564";"24714256";NA;NA
"Crematogaster laeviuscula";"68544";"14985781";"579080";"2421437"
"Chrysopsis";"759448";"12138953";"202497";"72912"
"Oecanthus niveus";"345151";"17641239";"658611";"1425302"
"Casinaria limenitides";NA;NA;NA;NA
"Phytocoris breviusculus";NA;"30927701";"105094";NA
"Podisus acutissimus";NA;NA;NA;NA
"Heteristius cinctus";NA;"18607597";"638539";NA
"Conura amoena";"480683";"15017854";NA;NA
"Apanteles";"7626";"11983114";NA;"7403"
"Vanduzea laeta";"377379";"24639503";NA;"1465053"
"Pseudococcidae";"80672";"12125459";"109211";"30190"
"Parthenolecanium";"164399";"17781525";NA;"536012"
"Leptoglossus brevirostris";NA;"15937404";"108337";NA
"Aphrastus unicolor";NA;"31189212";"617446";NA
"Myrmex";"211369";"15053126";"154232";"122883"
"Smiracraulax tuberculatus";NA;NA;NA;NA
