"sp_taxon_1";"sp_taxon_2";"value";"type";"direction"
"Rana sylvatica";"Detritus";"1";"commensalism";"directed"
"Daphnia pulex";"Detritus";"1";"commensalism";"directed"
"Tendipes";"Detritus";"1";"commensalism";"directed"
"Amphipods";"Detritus";"1";"commensalism";"directed"
"Ostracods";"Detritus";"1";"commensalism";"directed"
"Corixids";"Detritus";"1";"commensalism";"directed"
"Daphnia pulex";"Periphyton";"1";"unknown";"directed"
"Tendipes";"Periphyton";"1";"unknown";"directed"
"Amphipods";"Periphyton";"1";"unknown";"directed"
"Ostracods";"Periphyton";"1";"unknown";"directed"
"Corixids";"Periphyton";"1";"unknown";"directed"
"Daphnia pulex";"Phytoplankton";"1";"herbivory";"directed"
"Tendipes";"Phytoplankton";"1";"herbivory";"directed"
"Amphipods";"Phytoplankton";"1";"herbivory";"directed"
"Ostracods";"Phytoplankton";"1";"herbivory";"directed"
"Corixids";"Phytoplankton";"1";"herbivory";"directed"
"Gastropods";"Detritus";"1";"commensalism";"directed"
"Pelecypods";"Detritus";"1";"commensalism";"directed"
"Gastropods";"Periphyton";"1";"unknown";"directed"
"Pelecypods";"Periphyton";"1";"unknown";"directed"
"Gastropods";"Phytoplankton";"1";"herbivory";"directed"
"Pelecypods";"Phytoplankton";"1";"herbivory";"directed"
"Chaoborus";"Daphnia pulex";"1";"predation";"directed"
"Acilius";"Daphnia pulex";"1";"predation";"directed"
"Chaoborus";"Tendipes";"1";"predation";"directed"
"Acilius";"Tendipes";"1";"predation";"directed"
"Chaoborus";"Amphipods";"1";"predation";"directed"
"Acilius";"Amphipods";"1";"predation";"directed"
"Chaoborus";"Ostracods";"1";"predation";"directed"
"Acilius";"Ostracods";"1";"predation";"directed"
"Chaoborus";"Corixids";"1";"predation";"directed"
"Acilius";"Corixids";"1";"predation";"directed"
"Hydracarina";"Daphnia pulex";"1";"predation";"directed"
"Odonata";"Daphnia pulex";"1";"predation";"directed"
"Ranatra";"Daphnia pulex";"1";"predation";"directed"
"Belostoma";"Daphnia pulex";"1";"predation";"directed"
"Hydracarina";"Tendipes";"1";"predation";"directed"
"Odonata";"Tendipes";"1";"predation";"directed"
"Ranatra";"Tendipes";"1";"predation";"directed"
"Belostoma";"Tendipes";"1";"predation";"directed"
"Hydracarina";"Amphipods";"1";"predation";"directed"
"Odonata";"Amphipods";"1";"predation";"directed"
"Ranatra";"Amphipods";"1";"predation";"directed"
"Belostoma";"Amphipods";"1";"predation";"directed"
"Hydracarina";"Ostracods";"1";"predation";"directed"
"Odonata";"Ostracods";"1";"predation";"directed"
"Ranatra";"Ostracods";"1";"predation";"directed"
"Belostoma";"Ostracods";"1";"predation";"directed"
"Hydracarina";"Corixids";"1";"predation";"directed"
"Odonata";"Corixids";"1";"predation";"directed"
"Ranatra";"Corixids";"1";"predation";"directed"
"Belostoma";"Corixids";"1";"predation";"directed"
"Ambystoma laterale";"Daphnia pulex";"1";"predation";"directed"
"A. maculatum";"Daphnia pulex";"1";"predation";"directed"
"A. tremblayi";"Daphnia pulex";"1";"predation";"directed"
"Ambystoma laterale";"Tendipes";"1";"predation";"directed"
"A. maculatum";"Tendipes";"1";"predation";"directed"
"A. tremblayi";"Tendipes";"1";"predation";"directed"
"Ambystoma laterale";"Amphipods";"1";"predation";"directed"
"A. maculatum";"Amphipods";"1";"predation";"directed"
"A. tremblayi";"Amphipods";"1";"predation";"directed"
"Ambystoma laterale";"Ostracods";"1";"predation";"directed"
"A. maculatum";"Ostracods";"1";"predation";"directed"
"A. tremblayi";"Ostracods";"1";"predation";"directed"
"Ambystoma laterale";"Corixids";"1";"predation";"directed"
"A. maculatum";"Corixids";"1";"predation";"directed"
"A. tremblayi";"Corixids";"1";"predation";"directed"
"Ambystoma laterale";"Gastropods";"1";"predation";"directed"
"A. maculatum";"Gastropods";"1";"predation";"directed"
"A. tremblayi";"Gastropods";"1";"predation";"directed"
"Ambystoma laterale";"Pelecypods";"1";"predation";"directed"
"A. maculatum";"Pelecypods";"1";"predation";"directed"
"A. tremblayi";"Pelecypods";"1";"predation";"directed"
"Ambystoma laterale";"Chaoborus";"1";"predation";"directed"
"A. maculatum";"Chaoborus";"1";"predation";"directed"
"A. tremblayi";"Chaoborus";"1";"predation";"directed"
