"H.M. Wilbur. Competition, Predation, and the Structure of the Ambystoma-Rama Sylvatica Community. Ecology. 53(1), pp. 3-21.",,,,,,,,,,
Temporary pond - Michigan,Rana sylvatica,Daphnia pulex - Tendipes - amphipods - ostracods - corixids,gastropods - pelecypods,Chaoborus - Acilius,Hydracarina - Odonata - Ranatra - Belostoma,Ambystoma laterale - A. maculatum A. tremblayi,Dytiscus,Ambystoma tigrinum,Notophthalmus viridescens,Batracobdella picta (leech)
detritus,1,1,1,0,0,0,0,0,0,0
periphyton - phytoplankton,0,1,1,0,0,0,0,0,0,0
Rana sylvatica,0,0,0,0,0,0,1,1,0,0
Daphnia pulex - Tendipes - amphipods - ostracods - corixids,0,0,0,1,1,1,0,0,1,0
gastropods - pelecypods,0,0,0,0,0,1,0,1,1,0
Chaoborus - Acilius,0,0,0,0,0,1,1,0,1,0
Hydracarina - Odonata - Ranatra - Belostoma,0,0,0,0,0,0,1,0,0,0
Ambystoma laterale - A. maculatum A. tremblayi,0,0,0,0,0,0,0,1,0,1
Dytiscus,0,0,0,0,0,0,0,1,1,0
Ambystoma tigrinum,0,0,0,0,0,0,0,0,0,1
