"sp_taxon_1";"sp_taxon_2";"value"
"Sphaerophoria philanthus";"Deutzia crenata";1
"Sphaerophoria philanthus";"Cirsium japonicum";1
"Sphaerophoria philanthus";"Polygonum cuspidatum";1
"Sphaerophoria philanthus";"Lysimachia clethroides";1
"Sphaerophoria philanthus";"Rhododendron kiusuanum";1
"Sphaerophoria philanthus";"Astilbe thunbergii";1
"Sphaerophoria philanthus";"Ixeris dentata";1
"Sphaerophoria philanthus";"Sophora flavescens";1
"Sphaerophoria philanthus";"Erigeron annuus";1
"Sphaerophoria philanthus";"Hydrangea luteo-venosa";1
"Sphaerophoria philanthus";"Veronica rotunda";1
"Sphaerophoria philanthus";"Vicia unijuga";1
"Sphaerophoria philanthus";"Pseudostellaria heterantha";1
"Sphaerophoria philanthus";"Angelica cartilagino-marginata";1
"Sphaerophoria philanthus";"Arabis glabra";1
"Sphaerophoria philanthus";"Senecio pierotii";1
"Ceratina japonica ";"Cirsium japonicum";1
"Ceratina japonica ";"Pieris japonica";1
"Ceratina japonica ";"Cirsium suffultum";1
"Ceratina japonica ";"Ranunculus japonicus";1
"Ceratina japonica ";"Rhododendron kiusuanum";1
"Ceratina japonica ";"Viola grypoceras";1
"Ceratina japonica ";"Abelia serrata";1
"Ceratina japonica ";"Lespedeza bicolor";1
"Ceratina japonica ";"Geranium shikokianum";1
"Ceratina japonica ";"Sophora flavescens";1
"Ceratina japonica ";"Hydrangea luteo-venosa";1
"Ceratina japonica ";"Weigela japonica";1
"Ceratina japonica ";"Prunella vulgaris";1
"Ceratina japonica ";"Rubus parvifolius";1
"Ceratina japonica ";"Aster ageratoides";1
"Eristalis tenax";"Cirsium japonicum";1
"Eristalis tenax";"Ranunculus japonicus";1
"Eristalis tenax";"Polygonum cuspidatum";1
"Eristalis tenax";"Benthamidia japonica";1
"Eristalis tenax";"Rhododendron kiusuanum";1
"Eristalis tenax";"Ligularia japonica";1
"Eristalis tenax";"Ixeris dentata";1
"Eristalis tenax";"Viburnum dilatatum";1
"Eristalis tenax";"Hemerocallis vespertina";1
"Eristalis tenax";"Spiraea japonica";1
"Eristalis tenax";"Viburnum erosum";1
"Eristalis tenax";"Anaphalis margaritacea";1
"Eristalis tenax";"Ligularia fischerii";1
"Eristalis tenax";"Saussurea gracilis";1
"Eristalis tenax";"Valeriana fauriei";1
"Bombus diversus";"Cirsium japonicum";1
"Bombus diversus";"Cirsium suffultum";1
"Bombus diversus";"Ranunculus japonicus";1
"Bombus diversus";"Lespedeza bicolor";1
"Bombus diversus";"Ligularia japonica";1
"Bombus diversus";"Geranium shikokianum";1
"Bombus diversus";"Potentilla freyniana";1
"Bombus diversus";"Sophora flavescens";1
"Bombus diversus";"Hemerocallis vespertina";1
"Bombus diversus";"Spiraea japonica";1
"Bombus diversus";"Vicia unijuga";1
"Bombus diversus";"Aconitum japonicum";1
"Bombus diversus";"Synurus excelsus";1
"Apis mellifera";"Polygonum cuspidatum";1
"Apis mellifera";"Abelia serrata";1
"Apis mellifera";"Lespedeza bicolor";1
"Apis mellifera";"Echinops setifer";1
"Apis mellifera";"Hydrangea paniculata";1
"Apis mellifera";"Hemerocallis vespertina";1
"Apis mellifera";"Allium thunbergii";1
"Apis mellifera";"Hydrangea serrata";1
"Apis mellifera";"Saussurea yanagisawae";1
"Apis mellifera";"Cimicifuga acerina";1
"Apis mellifera";"Isodon inflexus";1
"Bombus ignitus";"Cirsium japonicum";1
"Bombus ignitus";"Cirsium suffultum";1
"Bombus ignitus";"Weigela decora";1
"Bombus ignitus";"Lespedeza bicolor";1
"Bombus ignitus";"Ligularia japonica";1
"Bombus ignitus";"Sophora flavescens";1
"Bombus ignitus";"Echinops setifer";1
"Bombus ignitus";"Spiraea japonica";1
"Bombus ignitus";"Allium thunbergii";1
"Bombus ignitus";"Adenophora triphylla";1
