"name";"bold";"eol";"tsn";"ncbi"
"Astyanax ruberrimus";"97676";"15519560";"640520";"2099939"
"Compsura gorgonae";NA;"20011505";"640798";"1315318"
"Pseudocheirodon affinis";NA;"22425078";NA;NA
"Roeboides guatemalensis";"97714";"15040840";"162899";"71261"
"Cichlasoma maculicauda";NA;NA;NA;"399407"
"Gobiomorus dormitor";"53886";"12203977";"171921";"308076"
"Melaniris chagresi";NA;NA;NA;NA
"Nanophytoplankton";NA;NA;NA;NA
"Gambusia nicaraguagensis";NA;NA;NA;NA
"Poecilia mexicana";"23530";"12393446";"165902";"48701"
"Alcedininae";NA;"32022360";"692681";NA
"Tarpon atlanticus";NA;NA;NA;NA
"Chlidonias niger";"10203";"10662624";"176959";"279945"
