"original_name";"name_clear"
"Nastanthus aglomeratus";"Nastanthus aglomeratus"
"Nastanthus spathulatus";"Nastanthus spathulatus"
"Cerastium arvense";"Cerastium arvense"
"Cerastium montioides";"Cerastium montioides"
"Chaetanthera apiculata";"Chaetanthera apiculata"
"Chaetanthera flabellata";"Chaetanthera flabellata"
"Chaetanthera lycopodioides";"Chaetanthera lycopodioides"
"Erigeron andicola";"Erigeron andicola"
"Leuceria salina";"Leuceria salina"
"Nassauvia lagascae";"Nassauvia lagascae"
"Nassauvia pinnigera";"Nassauvia pinnigera"
"Nassauvia pungens";"Nassauvia pungens"
"Senecio francisci";"Senecio francisci"
"Draba gilliesii";"Draba gilliesii"
"Draba tenuis";"Draba tenuis"
"Cardamine nivalis";"Cardamine nivalis"
"Phacelia secunda";"Phacelia secunda"
"Adesmia capitellata";"Adesmia capitellata"
"Adesmia glomerula";"Adesmia glomerula"
"Caiophora coronata";"Caiophora coronata"
"Loasa caespitosa";"Loasa caespitosa"
"Nototriche compacta";"Nototriche compacta"
"Oxalis compacta";"Oxalis compacta"
"Oxalis sp.1";"Oxalis"
"Calandrinia affinis";"Calandrinia affinis"
"Calandrinia caespitosa";"Calandrinia caespitosa"
"Calandrinia occulta";"Calandrinia occulta"
"Calandrinia picta";"Calandrinia picta"
"Calandrinia sericea";"Calandrinia sericea"
"Ranunculus peduncularis";"Ranunculus peduncularis"
"Acaena pinnatifida";"Acaena pinnatifida"
"Oreopolus glacialis";"Oreopolus glacialis"
"Tropaeolum polyphyllum";"Tropaeolum polyphyllum"
"Azorella madreporica";"Azorella madreporica"
"L. acaulis";"L. acaulis"
"Pozoa coriacea";"Pozoa coriacea"
"Valeriana radicalis";"Valeriana radicalis"
"Junellia uniflora";"Junellia uniflora"
"Viola atropurpurea";"Viola atropurpurea"
"Viola montagnei";"Viola montagnei"
"Viola philippii";"Viola philippii"
"Hymenoptera n.i.";"Hymenoptera"
"Diptera n.i.";"Diptera"
"Bombyllidae n.i.";"Bombyllidae"
"Faunula leucoglene";"Faunula leucoglene"
"Yramea modesta";"Yramea modesta"
"Scaeva melanostoma";"Scaeva melanostoma"
"Phulia nymphula";"Phulia nymphula"
"Sarcophagidae sp.";"Sarcophagidae"
"Bombus dahlbomii";"Bombus dahlbomii"
"Sarcophagidae n.i.";"Sarcophagidae"
"Coleoptera n.i.";"Coleoptera"
"Syrphidae n.i.";"Syrphidae"
"Tachinidae n.i.";"Tachinidae"
"Anthidium sp.";"Anthidium"
"Megachile semirufa";"Megachile semirufa"
"Stenanthidium espinosai";"Stenanthidium espinosai"
"Megachile sp. 5";"Megachile"
"Troch n.i.";"Troch"
"Andinus venustus";"Andinus venustus"
"Cynthia terpsichore";"Cynthia terpsichore"
"Hypsochila wagenknecti";"Hypsochila wagenknecti"
"Tatochila mercedis";"Tatochila mercedis"
"Pseudolucia chilensis";"Pseudolucia chilensis"
"Dasybasis sp. 1";"Dasybasis"
"Habromyia lipoflava";"Habromyia lipoflava"
"Villa  sp. ";"Villa"
"Vibrissiomyia sp.";"Vibrissiomyia"
