"sp_taxon_1";"sp_taxon_2";"value"
"Caenohalictus sp.";"Nothoscordum andinum";"1"
"Scaeva melanostoma";"Nothoscordum andinum";"1"
"Megachile sp. 1";"Rhodophiala montana";"1"
"Lepidoptera n.i.";"Tristagama nivale";"1"
"Caenohalictus sp.";"Berberis empetrifolia";"1"
"Hypodynerus chiliotus";"Berberis empetrifolia";"1"
"Scaeva melanostoma";"Berberis empetrifolia";"1"
"Tachinidae n.i.";"Berberis empetrifolia";"1"
"Sarcophagidae n.i.";"Berberis empetrifolia";"1"
"Hymenoptera n.i.";"Nastanthus spathulatus";"1"
"Bombus dahlbomii";"Cerastium arvense";"1"
"Caenohalictus sp.";"Cerastium arvense";"1"
"Diptera n.i.";"Cerastium arvense";"1"
"Hypodynerus chiliotus";"Cerastium arvense";"1"
"Pseudolucia chilensis";"Cerastium arvense";"1"
"Bombylliidae n.i.";"Cerastium arvense";"1"
"Tachinidae n.i.";"Cerastium arvense";"1"
"Coleoptera sp.";"Cerastium arvense";"1"
"Diptera n.i.";"Cerastium montioides";"1"
"Caenohalictus sp.";"Chaetanthera euphrasioides";"1"
"Lycophlaeba lugubris";"Chaetanthera euphrasioides";"1"
"Scaeva melanostoma";"Chaetanthera euphrasioides";"1"
"Villa  flavicura";"Chaetanthera euphrasioides";"1"
"Villa  gayi";"Chaetanthera euphrasioides";"1"
"Villa  hypoxantha";"Chaetanthera euphrasioides";"1"
"Villa  semifuscata";"Chaetanthera euphrasioides";"1"
"Villa  sp.";"Chaetanthera euphrasioides";"1"
"Villa  arenarius";"Chaetanthera euphrasioides";"1"
"Spathipalpus philippii";"Chaetanthera euphrasioides";"1"
"Diptera n.i.";"Chaetanthera pusilla";"1"
"Faunula leucoglene";"Chaetanthera pusilla";"1"
"Yramea modesta";"Chaetanthera pusilla";"1"
"Andinus venustus";"Chuquiraga oppositifolia";"1"
"Auca coctei-pales";"Chuquiraga oppositifolia";"1"
"Bombus dahlbomii";"Chuquiraga oppositifolia";"1"
"Diptera n.i.";"Chuquiraga oppositifolia";"1"
"Etcheverrius chilensis";"Chuquiraga oppositifolia";"1"
"Faunula leucoglene";"Chuquiraga oppositifolia";"1"
"Scaeva melanostoma";"Chuquiraga oppositifolia";"1"
"Diptera n.i.";"Erigeron andicola";"1"
"Bombus dahlbomii";"Mustisia sinuata";"1"
"Etcheverrius chilensis";"Mustisia sinuata";"1"
"Hypodynerus chiliotus";"Nassauvia axillaris";"1"
"Scaeva melanostoma";"Nassauvia axillaris";"1"
"Bombylliidae n.i.";"Nassauvia axillaris";"1"
"Sarcophagidae n.i.";"Nassauvia axillaris";"1"
"Dasybasis sp. 1";"Nassauvia heterophylla";"1"
"Diptera n.i.";"Nassauvia heterophylla";"1"
"Villa  sp.";"Nassauvia heterophylla";"1"
"Vibrissomyia sp.";"Nassauvia heterophylla";"1"
"Villa  verdensis";"Nassauvia heterophylla";"1"
"Anthidium funereum";"Senecio bustillosianus";"1"
"Auca coctei-pales";"Senecio bustillosianus";"1"
"Bombus dahlbomii";"Senecio bustillosianus";"1"
"Diptera n.i.";"Senecio bustillosianus";"1"
"Etcheverrius chilensis";"Senecio bustillosianus";"1"
"Megachile semirufa";"Senecio bustillosianus";"1"
"Scaeva melanostoma";"Senecio bustillosianus";"1"
"Megachile sp. 1";"Senecio bustillosianus";"1"
"Tachinidae n.i.";"Senecio bustillosianus";"1"
"Sarcophagidae n.i.";"Senecio bustillosianus";"1"
"Andinus venustus";"Senecio crithmoides";"1"
"Auca coctei-pales";"Senecio crithmoides";"1"
"Caenohalictus sp.";"Senecio crithmoides";"1"
"Etcheverrius chilensis";"Senecio crithmoides";"1"
"Panurgineae sp.";"Senecio crithmoides";"1"
"Andinus venustus";"Senecio erucaeformis";"1"
"Anthidium funereum";"Senecio erucaeformis";"1"
"Auca coctei-pales";"Senecio erucaeformis";"1"
"Bombus dahlbomii";"Senecio erucaeformis";"1"
"Diptera n.i.";"Senecio erucaeformis";"1"
"Etcheverrius chilensis";"Senecio erucaeformis";"1"
"Hypodynerus chiliotus";"Senecio erucaeformis";"1"
"Megachile semirufa";"Senecio erucaeformis";"1"
"Panurgineae sp.";"Senecio erucaeformis";"1"
"Tatochila mercedis";"Senecio erucaeformis";"1"
"Tatochila blanchardii";"Senecio erucaeformis";"1"
"Megachile sp. 1";"Senecio erucaeformis";"1"
"Hypodynerus  sp. 3";"Senecio erucaeformis";"1"
"Chilicola sp. NA";"Senecio erucaeformis";"1"
"Etcheverrius chilensis";"Senecio francisci";"1"
"Faunula leucoglene";"Senecio francisci";"1"
"Lepidoptera n.i.";"Senecio francisci";"1"
"Scaeva melanostoma";"Senecio francisci";"1"
"Villa  sp.";"Senecio francisci";"1"
"Vibrissomyia sp.";"Senecio francisci";"1"
"Anthidium funereum";"Senecio sp.";"1"
"Bombus dahlbomii";"Senecio sp.";"1"
"Diptera n.i.";"Senecio sp.";"1"
"Etcheverrius chilensis";"Senecio sp.";"1"
"Faunula leucoglene";"Senecio sp.";"1"
"Pseudolucia chilensis";"Senecio sp.";"1"
"Scaeva melanostoma";"Senecio sp.";"1"
"Villa  sp.";"Senecio sp.";"1"
"Bombylliidae n.i.";"Senecio sp.";"1"
"Tachinidae n.i.";"Senecio sp.";"1"
"Bibionidae sp. 1";"Senecio sp.";"1"
"Diptera n.i.";"Werneria pygmaea";"1"
"Sarcophagidae n.i.";"Werneria pygmaea";"1"
"Diptera n.i.";"Cardamine nivalis";"1"
"Diptera n.i.";"Stenodraba stenophylla";"1"
"Anthomyiidae n.i.";"Stenodraba stenophylla";"1"
"Diptera n.i.";"Euphorbia portulacoides";"1"
"Scaeva melanostoma";"Euphorbia portulacoides";"1"
"Tachinidae n.i.";"Euphorbia portulacoides";"1"
"Vespidae n.i.";"Euphorbia portulacoides";"1"
"Tabanidae n.i.";"Euphorbia portulacoides";"1"
"Alloscirtetica rufitarsis";"Anarthrophyllum cumingii";"1"
"Centris cineraria";"Anarthrophyllum cumingii";"1"
"Gayella reedi";"Anarthrophyllum cumingii";"1"
"Hypodynerus sp.2";"Anarthrophyllum cumingii";"1"
"Megachile sp.2";"Anarthrophyllum cumingii";"1"
"Alloscirtetica sp.";"Anarthrophyllum gayanum";"1"
"Centris cineraria";"Anarthrophyllum gayanum";"1"
"Hymenoptera n.i.";"Anarthrophyllum gayanum";"1"
"Hypodynerus chiliotus";"Anarthrophyllum gayanum";"1"
"Pseudolucia chilensis";"Anarthrophyllum gayanum";"1"
"Alloscirtetica sp.";"Astragalus curvicaulis";"1"
"Caenohalictus sp.";"Astragalus curvicaulis";"1"
"Centris cineraria";"Astragalus curvicaulis";"1"
"Colletes fulvipes";"Astragalus curvicaulis";"1"
"Colletes sp.";"Astragalus curvicaulis";"1"
"Gayella reedi";"Astragalus curvicaulis";"1"
"Hypodynerus chiliotus";"Astragalus curvicaulis";"1"
"Megachile semirufa";"Astragalus curvicaulis";"1"
"Megachile sp. 1";"Astragalus curvicaulis";"1"
"Sarcophagidae n.i.";"Astragalus curvicaulis";"1"
"Anthidium sp.";"Loasa caespitosa";"1"
"Bombus dahlbomii";"Loasa caespitosa";"1"
"Megachile semirufa";"Loasa caespitosa";"1"
"Megachile sp.4";"Loasa caespitosa";"1"
"Megachile sp.5";"Loasa caespitosa";"1"
"Andinus venustus";"Oxalis compacta";"1"
"Bombus dahlbomii";"Oxalis compacta";"1"
"Faunula leucoglene";"Oxalis compacta";"1"
"Habromyia lipoflava";"Oxalis compacta";"1"
"Lepidoptera n.i.";"Oxalis compacta";"1"
"Phulia nymphula";"Oxalis compacta";"1"
"Prosopochaeta caliginosa";"Oxalis compacta";"1"
"Tatochila mercedis";"Oxalis compacta";"1"
"Yramea lathonoides";"Oxalis compacta";"1"
"Yramea modesta";"Oxalis compacta";"1"
"Sarcophagidae n.i.";"Oxalis compacta";"1"
"Megachile sp.5";"Oxalis compacta";"1"
"Diptera n.i.";"Oxalis geminata";"1"
"Hymenoptera n.i.";"Oxalis geminata";"1"
"Coleoptera sp.";"Oxalis geminata";"1"
"Caenohalictus sp.";"Calandrinia affinis";"1"
"Diptera n.i.";"Calandrinia affinis";"1"
"Habromyia lipoflava";"Calandrinia affinis";"1"
"Hymenoptera n.i.";"Calandrinia affinis";"1"
"Phulia nymphula";"Calandrinia affinis";"1"
"Prosopochaeta caliginosa";"Calandrinia affinis";"1"
"Scaeva melanostoma";"Calandrinia affinis";"1"
"Villa  hypoxantha";"Calandrinia affinis";"1"
"Sarcophagidae n.i.";"Calandrinia affinis";"1"
"Hypodynerus sp.2";"Calandrinia affinis";"1"
"Agromyzidae sp.1";"Calandrinia affinis";"1"
"Agromyzidae sp.2";"Calandrinia affinis";"1"
"Anthomyiidae sp.2";"Calandrinia affinis";"1"
"Diptera n.i.";"Calandrinia dianthoides";"1"
"Scaeva melanostoma";"Calandrinia sericea";"1"
"Sarcophagidae n.i.";"Calandrinia sericea";"1"
"Caenohalictus sp.";"Ranunculus peduncularis";"1"
"Diptera n.i.";"Ranunculus peduncularis";"1"
"Ateloglutus sp.";"Discaria nana";"1"
"Habromyia lipoflava";"Discaria nana";"1"
"Lepidoptera n.i.";"Discaria nana";"1"
"Prosopochaeta caliginosa";"Discaria nana";"1"
"Tachinidae n.i.";"Discaria nana";"1"
"Sarcophagidae n.i.";"Discaria nana";"1"
"Scaeva melanostoma";"Acaena pinnatifida";"1"
"Centris nigerrima";"Calceolaria arachnoides";"1"
"Centris nigerrima";"Calceolaria biflora";"1"
"Centris cana";"Calceolaria biflora";"1"
"Anthidium sp.";"Tropaeolum polyphyllum";"1"
"Scaeva melanostoma";"Tropaeolum polyphyllum";"1"
"Troch n.i.";"Tropaeolum polyphyllum";"1"
"Yramea modesta";"Tropaeolum polyphyllum";"1"
"Megachile sp.5";"Tropaeolum polyphyllum";"1"
"Diptera n.i.";"Azorella bolacina";"1"
"Tachinidae n.i.";"Azorella bolacina";"1"
"Sarcophagidae n.i.";"Azorella bolacina";"1"
"Diptera n.i.";"Azorella monantha";"1"
"Habromyia lipoflava";"Azorella monantha";"1"
"Prosopochaeta caliginosa";"Azorella monantha";"1"
"Tachinidae n.i.";"Azorella monantha";"1"
"Sarcophagidae n.i.";"Azorella monantha";"1"
"Diptera n.i.";"L. acaulis";"1"
"Habromyia lipoflava";"L. acaulis";"1"
"Prosopochaeta caliginosa";"L. acaulis";"1"
"Scaeva melanostoma";"L. acaulis";"1"
"Tachinidae n.i.";"L. acaulis";"1"
"Sarcophagidae n.i.";"L. acaulis";"1"
"Diptera n.i.";"Sanicula graveolens";"1"
"Prosopochaeta caliginosa";"Sanicula graveolens";"1"
"Scaeva melanostoma";"Sanicula graveolens";"1"
"Anthomyiidae sp.2";"Sanicula graveolens";"1"
"Yramea modesta";"Viola philippii";"1"
