"original_name";"name_clear"
"Nothoscordum andinum";"Nothoscordum andinum"
"Rhodophiala montana";"Rhodophiala montana"
"Tristagama nivale";"Tristagama nivale"
"Berberis empetrifolia";"Berberis empetrifolia"
"Nastanthus spathulatus";"Nastanthus spathulatus"
"Cerastium arvense";"Cerastium arvense"
"Cerastium montioides";"Cerastium montioides"
"Chaetanthera euphrasioides";"Chaetanthera euphrasioides"
"Chaetanthera pusilla";"Chaetanthera pusilla"
"Chuquiraga oppositifolia";"Chuquiraga oppositifolia"
"Erigeron andicola";"Erigeron andicola"
"Mustisia sinuata";"Mustisia sinuata"
"Nassauvia axillaris";"Nassauvia axillaris"
"Nassauvia heterophylla";"Nassauvia heterophylla"
"Senecio bustillosianus";"Senecio bustillosianus"
"Senecio crithmoides";"Senecio crithmoides"
"Senecio erucaeformis";"Senecio erucaeformis"
"Senecio francisci";"Senecio francisci"
"Senecio sp.";"Senecio"
"Werneria pygmaea";"Werneria pygmaea"
"Cardamine nivalis";"Cardamine nivalis"
"Stenodraba stenophylla";"Stenodraba stenophylla"
"Euphorbia portulacoides";"Euphorbia portulacoides"
"Anarthrophyllum cumingii";"Anarthrophyllum cumingii"
"Anarthrophyllum gayanum";"Anarthrophyllum gayanum"
"Astragalus curvicaulis";"Astragalus curvicaulis"
"Loasa caespitosa";"Loasa caespitosa"
"Oxalis compacta";"Oxalis compacta"
"Oxalis geminata";"Oxalis geminata"
"Calandrinia affinis";"Calandrinia affinis"
"Calandrinia dianthoides";"Calandrinia dianthoides"
"Calandrinia sericea";"Calandrinia sericea"
"Ranunculus peduncularis";"Ranunculus peduncularis"
"Discaria nana";"Discaria nana"
"Acaena pinnatifida";"Acaena pinnatifida"
"Calceolaria arachnoides";"Calceolaria arachnoides"
"Calceolaria biflora";"Calceolaria biflora"
"Tropaeolum polyphyllum";"Tropaeolum polyphyllum"
"Azorella bolacina";"Azorella bolacina"
"Azorella monantha";"Azorella monantha"
"L. acaulis";"L. acaulis"
"Sanicula graveolens";"Sanicula graveolens"
"Viola philippii";"Viola philippii"
"Caenohalictus sp.";"Caenohalictus"
"Scaeva melanostoma";"Scaeva melanostoma"
"Megachile sp. 1";"Megachile"
"Lepidoptera n.i.";"Lepidoptera"
"Hypodynerus chiliotus";"Hypodynerus chiliotus"
"Tachinidae n.i.";"Tachinidae"
"Sarcophagidae n.i.";"Sarcophagidae"
"Hymenoptera n.i.";"Hymenoptera"
"Bombus dahlbomii";"Bombus dahlbomii"
"Diptera n.i.";"Diptera"
"Pseudolucia chilensis";"Pseudolucia chilensis"
"Bombylliidae n.i.";"Bombylliidae"
"Coleoptera sp.";"Coleoptera"
"Lycophlaeba lugubris";"Lycophlaeba lugubris"
"Villa  flavicura";"Villa  flavicura"
"Villa  gayi";"Villa  gayi"
"Villa  hypoxantha";"Villa  hypoxantha"
"Villa  semifuscata";"Villa  semifuscata"
"Villa  sp.";"Villa"
"Villa  arenarius";"Villa  arenarius"
"Spathipalpus philippii";"Spathipalpus philippii"
"Faunula leucoglene";"Faunula leucoglene"
"Yramea modesta";"Yramea modesta"
"Andinus venustus";"Andinus venustus"
"Auca coctei-pales";"Auca coctei-pales"
"Etcheverrius chilensis";"Etcheverrius chilensis"
"Dasybasis sp. 1";"Dasybasis"
"Vibrissomyia sp.";"Vibrissomyia"
"Villa  verdensis";"Villa  verdensis"
"Anthidium funereum";"Anthidium funereum"
"Megachile semirufa";"Megachile semirufa"
"Panurgineae sp.";"Panurgineae"
"Tatochila mercedis";"Tatochila mercedis"
"Tatochila blanchardii";"Tatochila blanchardii"
"Hypodynerus  sp. 3";"Hypodynerus"
"Chilicola sp. NA";"Chilicola"
"Bibionidae sp. 1";"Bibionidae"
"Anthomyiidae n.i.";"Anthomyiidae"
"Vespidae n.i.";"Vespidae"
"Tabanidae n.i.";"Tabanidae"
"Alloscirtetica rufitarsis";"Alloscirtetica rufitarsis"
"Centris cineraria";"Centris cineraria"
"Gayella reedi";"Gayella reedi"
"Hypodynerus sp.2";"Hypodynerus"
"Megachile sp.2";"Megachile"
"Alloscirtetica sp.";"Alloscirtetica"
"Colletes fulvipes";"Colletes fulvipes"
"Colletes sp.";"Colletes"
"Anthidium sp.";"Anthidium"
"Megachile sp.4";"Megachile"
"Megachile sp.5";"Megachile"
"Habromyia lipoflava";"Habromyia lipoflava"
"Phulia nymphula";"Phulia nymphula"
"Prosopochaeta caliginosa";"Prosopochaeta caliginosa"
"Yramea lathonoides";"Yramea lathonoides"
"Agromyzidae sp.1";"Agromyzidae"
"Agromyzidae sp.2";"Agromyzidae"
"Anthomyiidae sp.2";"Anthomyiidae"
"Ateloglutus sp.";"Ateloglutus"
"Centris nigerrima";"Centris nigerrima"
"Centris cana";"Centris cana"
"Troch n.i.";"Troch"
