"sp_taxon_1";"sp_taxon_2";"value"
"Alloscirtetica gayi";"Alstromemeria pallida";"1"
"Alloscirtetica sp.";"Alstromemeria pallida";"1"
"Anthidium funereum";"Alstromemeria pallida";"1"
"Megachile semirufa";"Alstromemeria pallida";"1"
"Panurgineae sp.";"Alstromemeria pallida";"1"
"Troch n.i.";"Hippeastrum uniflorum";"1"
"Lepidoptera n.i.";"Leucocoryne ixioides";"1"
"Lepidoptera n.i.";"Leucocoryne pauciflora";"1"
"Caenohalictus sp.";"Nothoscordum andinum";"1"
"Diptera n.i.";"Nothoscordum andinum";"1"
"Scaeva melanostoma";"Nothoscordum andinum";"1"
"Megachile sp. 1";"Rhodophiala montana";"1"
"Caenohalictus sp.";"Tristagama bivalve";"1"
"Diptera n.i.";"Tristagama bivalve";"1"
"Lepidoptera n.i.";"Tristagama nivale";"1"
"Diptera n.i.";"Tristagama sessile";"1"
"Caenohalictus sp.";"Berberis empetrifolia";"1"
"Hypodynerus chiliotus";"Berberis empetrifolia";"1"
"Scaeva melanostoma";"Berberis empetrifolia";"1"
"Tachinidae n.i.";"Berberis empetrifolia";"1"
"Sarcophagidae n.i.";"Berberis empetrifolia";"1"
"Diptera n.i.";"Berberis montana";"1"
"Hymenoptera n.i.";"Berberis montana";"1"
"Megachile sp. 1";"Cynoglossum creticum";"1"
"Liphanthus sabulosus";"Trichocereus chiloensis";"1"
"Liphanthus sp.2";"Trichocereus chiloensis";"1"
"Diptera n.i.";"Cerastium arvense";"1"
"Habromyia lipoflava";"Cerastium arvense";"1"
"Scaeva melanostoma";"Cerastium arvense";"1"
"Bibionidae  sp.1";"Cerastium arvense";"1"
"Bibionidae  sp. 2";"Cerastium arvense";"1"
"Coleoptera n.i.";"Cerastium arvense";"1"
"Caenohalictus sp.";"Chaetanthera euphrasioides";"1"
"Lycophlaeba lugubris";"Chaetanthera euphrasioides";"1"
"Scaeva melanostoma";"Chaetanthera euphrasioides";"1"
"Villa  gayi";"Chaetanthera euphrasioides";"1"
"Villa  hypoxantha";"Chaetanthera euphrasioides";"1"
