"original_name";"name_clear"
"Alstromemeria pallida";"Alstromemeria pallida"
"Hippeastrum uniflorum";"Hippeastrum uniflorum"
"Leucocoryne ixioides";"Leucocoryne ixioides"
"Leucocoryne pauciflora";"Leucocoryne pauciflora"
"Nothoscordum andinum";"Nothoscordum andinum"
"Rhodophiala montana";"Rhodophiala montana"
"Tristagama bivalve";"Tristagama bivalve"
"Tristagama nivale";"Tristagama nivale"
"Tristagama sessile";"Tristagama sessile"
"Berberis empetrifolia";"Berberis empetrifolia"
"Berberis montana";"Berberis montana"
"Cynoglossum creticum";"Cynoglossum creticum"
"Trichocereus chiloensis";"Trichocereus chiloensis"
"Cerastium arvense";"Cerastium arvense"
"Chaetanthera euphrasioides";"Chaetanthera euphrasioides"
"Chaetanthera microphylla";"Chaetanthera microphylla"
"Chuquiraga oppositifolia";"Chuquiraga oppositifolia"
"Haplopappus chysanthemifolius";"Haplopappus chysanthemifolius"
"Haplopappus sericeus";"Haplopappus sericeus"
"Hypochoeris sp.";"Hypochoeris"
"Leuceria landbeckii";"Leuceria landbeckii"
"Madia sativa";"Madia sativa"
"Mustisia acerosa";"Mustisia acerosa"
"Mustisia sinuata";"Mustisia sinuata"
"Mustisia subulata";"Mustisia subulata"
"Nardophyllum lanatum";"Nardophyllum lanatum"
"Nassauvia heterophylla";"Nassauvia heterophylla"
"Perezia carthamoides";"Perezia carthamoides"
"Senecio bustillosianus";"Senecio bustillosianus"
"Senecio erucaeformis";"Senecio erucaeformis"
"Senecio francisci";"Senecio francisci"
"Senecio lithostaurus";"Senecio lithostaurus"
"Cardamine nivalis";"Cardamine nivalis"
"Lepidium suffruticosum";"Lepidium suffruticosum"
"Euphorbia portulacoides";"Euphorbia portulacoides"
"Erodium cicutarium";"Erodium cicutarium"
"Phacelia secunda";"Phacelia secunda"
"Sisyrinchium arenarium";"Sisyrinchium arenarium"
"Sisyrinchium junceum";"Sisyrinchium junceum"
"Sisyrinchium philippii";"Sisyrinchium philippii"
"Solenomelus sisyrinchium";"Solenomelus sisyrinchium"
"Stachys albicaulis";"Stachys albicaulis"
"Adesmia aconcaguensis";"Adesmia aconcaguensis"
"Adesmia brachysemon";"Adesmia brachysemon"
"Adesmia conferta";"Adesmia conferta"
"Adesmia exilis";"Adesmia exilis"
"Adesmia montana";"Adesmia montana"
"Adesmia radicifolia";"Adesmia radicifolia"
"Anarthrophyllum cumingii";"Anarthrophyllum cumingii"
"Astragalus curvicaulis";"Astragalus curvicaulis"
"Astragalus sp.";"Astragalus"
"Lathyrus subandinus";"Lathyrus subandinus"
"Lupinus microcarpus";"Lupinus microcarpus"
"Loasa heterophylla";"Loasa heterophylla"
"Loasa sigmoidea";"Loasa sigmoidea"
"Scypanthus elegans";"Scypanthus elegans"
"Malesherbia linearifolius";"Malesherbia linearifolius"
"Clarkia tenella";"Clarkia tenella"
"Oenothera acaulis";"Oenothera acaulis"
"Oxalis geminata";"Oxalis geminata"
"Oxalis sp.2";"Oxalis"
"Collomia biflora";"Collomia biflora"
"Calandrinia affinis";"Calandrinia affinis"
"Calandrinia uspallatensis";"Calandrinia uspallatensis"
"Barneoudia chilensis";"Barneoudia chilensis"
"Barneoudia major";"Barneoudia major"
"Acaena pinnatifida";"Acaena pinnatifida"
"Tetraglochin alatum";"Tetraglochin alatum"
"Quinchamalium chilensis";"Quinchamalium chilensis"
"Calceolaria arachnoides";"Calceolaria arachnoides"
"Calceolaria biflora";"Calceolaria biflora"
"Calceolaria montana";"Calceolaria montana"
"Calceolaria sp.";"Calceolaria"
"Schizanthus garhamii";"Schizanthus garhamii"
"Schizanthus hookeri";"Schizanthus hookeri"
"Solanum tomatillo";"Solanum tomatillo"
"Salpiglossus sp.";"Salpiglossus"
"Tropaeolum polyphyllum";"Tropaeolum polyphyllum"
"Tropaeolum sessilifolium";"Tropaeolum sessilifolium"
"Tropaeolum tricolor";"Tropaeolum tricolor"
"Asteriscium aemocarpon";"Asteriscium aemocarpon"
"Bowlesia tropaeolifolia";"Bowlesia tropaeolifolia"
"Mulinum spinosum";"Mulinum spinosum"
"Sanicula graveolens";"Sanicula graveolens"
"Valeriana gracileps";"Valeriana gracileps"
"Verbena scoparia";"Verbena scoparia"
"Viola atropurpurea";"Viola atropurpurea"
"Alloscirtetica gayi";"Alloscirtetica gayi"
"Alloscirtetica sp.";"Alloscirtetica"
"Anthidium funereum";"Anthidium funereum"
"Megachile semirufa";"Megachile semirufa"
"Panurgineae sp.";"Panurgineae"
"Troch n.i.";"Troch"
"Lepidoptera n.i.";"Lepidoptera"
"Caenohalictus sp.";"Caenohalictus"
"Diptera n.i.";"Diptera"
"Scaeva melanostoma";"Scaeva melanostoma"
"Megachile sp. 1";"Megachile"
"Hypodynerus chiliotus";"Hypodynerus chiliotus"
"Tachinidae n.i.";"Tachinidae"
"Sarcophagidae n.i.";"Sarcophagidae"
"Hymenoptera n.i.";"Hymenoptera"
"Liphanthus sabulosus";"Liphanthus sabulosus"
"Liphanthus sp.2";"Liphanthus"
