"name";"bold";"eol";"tsn";"ncbi"
"Alstromemeria pallida";NA;NA;NA;NA
"Hippeastrum uniflorum";NA;NA;NA;NA
"Leucocoryne ixioides";"552396";"53042519";NA;"1072605"
"Leucocoryne pauciflora";"416792";"53042521";NA;"112599"
"Nothoscordum";"413093";"53041887";NA;"51464"
"Rhodophiala montana";"634469";"53041477";NA;"666564"
"Tristagama bivalve";NA;NA;NA;NA
"Tristagama nivale";NA;NA;NA;NA
"Tristagama sessile";NA;NA;NA;NA
"Berberis empetrifolia";"620722";"50858719";NA;"186724"
"Berberis montana";NA;"61788884";NA;"1433320"
"Cynoglossum creticum";"418678";"57267297";NA;"363801"
"Trichocereus";"419720";"50865225";NA;"153898"
"Cerastium arvense";"257168";"61377994";NA;"271558"
"Chaetanthera euphrasioides";"627906";"52947081";NA;"368878"
"Chaetanthera microphylla";NA;"52947025";NA;"368894"
"Chuquiraga oppositifolia";"422394";"52936507";NA;"171763"
"Haplopappus chysanthemifolius";NA;NA;NA;NA
"Haplopappus sericeus";NA;NA;NA;NA
"Hypochoeris";"390129";NA;NA;"58643"
"Leuceria landbeckii";NA;NA;NA;NA
"Madia sativa";"550905";"50884603";"38040";"149445"
"Mustisia acerosa";NA;NA;NA;NA
"Mustisia sinuata";NA;NA;NA;NA
"Mustisia subulata";NA;NA;NA;NA
"Nardophyllum lanatum";"631383";"52957590";NA;"1161141"
"Nassauvia heterophylla";"623915";NA;NA;"711021"
"Perezia carthamoides";"422408";"52946990";NA;"516731"
"Senecio bustillosianus";NA;NA;NA;NA
"Senecio erucaeformis";NA;NA;NA;NA
"Senecio";"125029";"61368014";"36094";"18794"
"Senecio lithostaurus";NA;"52933227";NA;NA
"Cardamine nivalis";NA;NA;NA;"391730"
"Lepidium suffruticosum";NA;NA;NA;NA
"Euphorbia portulacoides";NA;"52842322";NA;"1138358"
"Erodium cicutarium";"162182";"50942812";NA;"301481"
"Phacelia secunda";NA;NA;NA;NA
"Sisyrinchium arenarium";"751979";"53078706";NA;"1053796"
"Sisyrinchium junceum";NA;NA;NA;"1053789"
"Sisyrinchium philippii";NA;NA;NA;NA
"Solenomelus sisyrinchium";NA;NA;NA;"58706"
"Stachys albicaulis";NA;NA;NA;NA
"Adesmia";NA;"57286755";"820112";"48136"
"Adesmia brachysemon";NA;NA;NA;NA
"Adesmia conferta";NA;"52890497";NA;NA
"Adesmia exilis";"429604";"52890495";NA;"53822"
"Adesmia montana";NA;"52890461";NA;"441235"
"Adesmia radicifolia";NA;"52890583";NA;NA
"Anarthrophyllum";"428634";"52890879";NA;"247920"
"Astragalus curvicaulis";"614868";"52867022";NA;"486705"
"Astragalus";"156343";"50928458";"25396";"20400"
"Lathyrus";"124460";"60963500";"25840";"3853"
"Lupinus microcarpus";"429618";"46209379";NA;"53231"
"Loasa heterophylla";"430312";"50868396";NA;"228037"
"Loasa sigmoidea";NA;NA;NA;"234931"
"Scypanthus elegans";NA;NA;NA;NA
"Malesherbia linearifolius";NA;NA;NA;NA
"Clarkia tenella";NA;"52861752";"836080";NA
"Oenothera acaulis";NA;"57304974";NA;"690531"
"Oxalis geminata";NA;NA;NA;NA
"Oxalis";"121443";"61405993";"29065";"4034"
"Collomia biflora";"435238";"50873314";NA;"1049791"
"Calandrinia affinis";"556746";"50865799";NA;"146097"
"Calandrinia";"435742";"50865798";NA;"46143"
"Barneoudia";NA;"50858077";NA;"666736"
"Barneoudia major";NA;"57210630";NA;"666739"
"Acaena pinnatifida";"770841";"50921051";NA;"281873"
"Tetraglochin alatum";NA;NA;NA;NA
"Quinchamalium";"438400";"50867879";NA;"450005"
"Calceolaria";"345328";"50908411";"834188";"86658"
"Calceolaria biflora";"419774";"50908412";NA;"240926"
"Calceolaria montana";NA;NA;NA;"441235"
"Schizanthus garhamii";NA;NA;NA;NA
"Schizanthus hookeri";"438770";"50899830";NA;"360629"
"Solanum tomatillo";NA;NA;NA;"374031"
"Salpiglossus";NA;NA;NA;NA
"Tropaeolum polyphyllum";"439241";"50937245";NA;"147029"
"Tropaeolum sessilifolium";"621638";"50937271";NA;"326764"
"Tropaeolum tricolor";"439245";"50937220";NA;"70271"
"Asteriscium aemocarpon";NA;"52914959";NA;NA
"Bowlesia tropaeolifolia";NA;"52911568";NA;"225211"
