"name";"bold";"eol";"tsn";"ncbi"
"Aralia nudicaulis";"121207";"46184190";"29376";"45207"
"Chimaphila umbellata";"121839";"57224501";NA;"93815"
"Clintonia borealis";"121211";"46191645";"42903";"34183"
"Cornus canadensis";"124475";"57222461";"27816";"4282"
"Cypripedium acaule";"396361";"46192307";"43534";"38191"
"Linnaea borealis";"124469";"46179142";NA;"77623"
"Maianthemum canadense";"121232";"61392307";"503653";"416391"
"Medeola virginiana";"121338";"53081831";"42963";"4694"
"Oxalis montana";"516381";"57282271";"29090";"1539866"
"Pyrola secunda";NA;NA;NA;"93819"
"Trientalis borealis";"121247";"61357259";"24053";"319347"
"Trillium undulatum";"444947";"46191862";"43092";"82504"
"Andrena wheeleri";"19319";"55781823";"654587";"586969"
"Andrena w-scripta";"260683";"52194860";"654590";"586970"
"Bombus perplexus";"19751";"52193899";"714829";"207644"
"Bombus terricola";"17063";"52193913";"714843";"207648"
"Bombus vagans";"19763";"52193915";"714845";"239131"
"Cateres pennatus";NA;NA;NA;NA
"Cheilosia tristis";"111433";NA;NA;NA
"Dialictus cressoni";NA;NA;NA;NA
"Dialictus imitatus";NA;NA;NA;NA
"Dialictus";"123918";"51185237";NA;"88475"
"Eusphalerum convexum";"574525";NA;NA;"1770640"
"Eusphalerum phothos";NA;NA;NA;NA
"Eusphalerum";"309416";"61803915";NA;"66315"
"Evylaeus quebecensis";NA;NA;NA;NA
"Halictus rubicundus";"21915";"52183949";"757831";"77578"
"Trachysida aspera";"155175";"46394724";NA;"1710597"
"Paramyia nitens";"296139";"55745005";"144498";"716627"
"Andrena wilkella";"20928";"46489075";"154363";"205204"
"Bombus ternarius";"19625";"52193911";"714841";"103937"
"Carposcalis confusus";NA;NA;NA;NA
"Osmia lignaria";"21434";"57365220";"715574";"473952"
"Parasyrphus relictus";"92311";"55737964";"140210";"1086770"
"Pidonia ruficolis";NA;NA;NA;NA
"Poanes hobomok";"74385";"46425331";NA;"691014"
"Rhopalum";"192967";"52176843";"728138";"421325"
"Sarcophaga nearctica";"668209";"53420731";NA;"1266520"
"Sphaerophoria";"6469";"46445690";"140251";"226179"
"Acmaeopsoides rufula";"160907";"51674781";"702411";NA
"Ancistrocerus";"70421";"51179675";NA;"76989"
"Andrena melanochroa";"142018";"55781611";"654376";"586962"
"Andrena miranda";"84810";"55781625";"654390";"205206"
"Andrena nivalis";"19322";"55781653";"654419";"205185"
"Andrena rufosignata";"95793";"55781731";"654496";"586966"
"Andrena sigmundi";"142017";"55781748";"654513";"586967"
"Andrena thaspii";"127046";"52194815";"654546";"1889579"
"Anthaxia expansa";"486429";"51714903";"809167";"1943743"
"Anthonomus";"167541";"60976017";"617336";"7043"
"Blera badia";"48262";"51993504";"141309";"1755195"
"Blera confusa";"48263";"51993505";"141313";"1690312"
"Blera nigripes";NA;"51993512";"141326";NA
"Bombylius major";"111555";"51962646";"134502";"240869"
"Cantharis";"71372";"51131423";"834442";"41098"
"Celastrina argiolus";"73871";"52274585";NA;"203782"
"Chalcosyrphus curvarius";NA;NA;NA;NA
"Chalcosyrphus inarmatus";"384226";"51993310";"141473";"1822502"
"Chalcosyrphus memorum";NA;NA;NA;NA
"Chalcosyrphus nigra";NA;NA;NA;NA
"Cheilosia sialia";NA;NA;NA;"172412"
"Crabro";"193908";"46503058";"648870";"330856"
"Dalopius";"299177";"60975277";NA;"341305"
"Eclimus harrisi";NA;NA;NA;NA
"Eudasyphora cyanicolor";"406837";"51942937";NA;"1643974"
"Evodinus monticola";"155190";"46394555";NA;"1710394"
"Evylaeus divergens";NA;NA;NA;NA
"Halictus confusus";"21747";"52183829";"757711";"88589"
"Hylaeus basalis";"15882";"55776018";"655709";"313015"
"Judolia montivagans";"15489";"46394579";NA;"219503"
"Lygus refidorsus";NA;NA;NA;NA
"Nomada sayi";"21864";"46501134";"694699";"586929"
"Orsodacne atra";"29201";"51838556";"719869";"131685"
"Orthoneura pulchella";NA;NA;NA;NA
"Osmia proxima";"21436";"46495975";"715606";"586936"
"Phaonia serva";"228526";"55748678";"150586";"1291927"
"Pieris napi";"32781";"55716146";NA;"78633"
"Psithyrus";"2127";"51183691";NA;"28653"
"Sphaerophoria bifurcata";"384185";"46445693";"140250";"1329961"
"Sphaerophoria longipilosa";"387994";"46445698";"140259";"1822562"
"Sphecodes";"2235";"52184342";"759392";"88591"
"Syritta pipiens";"30788";"51994254";"141419";"34682"
"Syritta rectus";NA;NA;NA;NA
"Temnostoma alternans";"48322";"55738532";"141366";"1124551"
"Temnostoma balyras";"48323";"51993458";"141367";"1690361"
"Temnostoma barberi";"48324";"55738534";"141369";"1124552"
"Tychius stephensi";"350055";NA;NA;"1971341"
"Xylota bigelowi";NA;NA;NA;NA
"Xylota hinei";"384191";"51994109";"141569";NA
"Xylota";"7856";"51153199";"141551";"224240"
"Zeraea americana";NA;NA;NA;NA
"Eupyses vestris";NA;NA;NA;NA
"Fannia ungulata";"228584";"51920691";"151486";"1692381"
"Hylaeus ellipticus";"20870";"51186207";NA;"313018"
"Hylaeus stevensi";NA;NA;NA;NA
"Melagyna lasiophthalma";NA;NA;NA;NA
"Osmia pumila";"58220";"52178236";"715609";NA
"Passaloecus";"193000";"51187136";"1016973";"421401"
"Pyrophaena rosarum";NA;NA;NA;"1352472"
"Agiotes stabilis";NA;NA;NA;NA
"Bombylius pigmaeus";NA;NA;NA;NA
"Cheilosia slossonae";"707310";NA;NA;NA
"Eremomyioides setosa";NA;NA;NA;NA
"Nomada cuneata";"21051";"52189813";"694523";"601462"
"Pegohylemyia fugax";NA;NA;NA;NA
"Phalaenophana pyramusalis";"20958";"59880558";"939833";"691018"
"Thamnotettix confinis";"473031";"52065175";NA;"706843"
"Ephemerella";"4297";"46504877";"101255";NA
"Cheilosia pallipes";NA;"51990052";"140538";NA
"Melanostoma";"6462";"46248260";"139700";"92597"
"Hoplitis producta";"17224";"46495509";"715482";"586903"
"Vespula arenaria";NA;NA;NA;NA
"Carposcalis obscura";NA;NA;NA;NA
