"name";"bold";"eol";"tsn";"ncbi"
"Centris aenea";NA;"55790020";"764798";"598215"
"Centris fuscata";NA;"55789978";"699046";"598298"
"Centris caxiensis";NA;"52192469";"764814";NA
"Centris tarsata";"83734";"46497845";"764909";"354140"
"Centris flavifrons";NA;"46497688";"699042";"360639"
"Centris trigonoides";"189344";"55790011";"699083";"598396"
"Centris obsoleta";NA;"52192430";"699067";NA
"Epicharis";"189356";"51183336";"639875";"486781"
"Xylocopa";"1971";"51184366";"684948";"7476"
"Xylocopa grisescens";"508573";"46502440";"766732";"1161898"
"Diplopterys pubipetala";"662589";"50916008";NA;"1027129"
"Byrsonima gardnerana";NA;NA;NA;"397165"
"Banisteriopsis muricata";"204668";"50915756";NA;"1027072"
"Heteropterys";"194892";"57273461";"847562";"151831"
"Dicella bracteosa";"662528";"57273303";NA;"1027122"
"Carolus chasei";"661316";"57273500";NA;"151851"
"Stigmaphyllon paralias";"264246";"50915942";NA;"151877"
"Banisteriopsis stellaris";NA;NA;NA;"1561750"
"Banisteriopsis schizoptera";NA;NA;NA;"1561748"
"Stigmaphyllon auriculatum";NA;NA;NA;"1804188"
"Stigmaphyllon ciliatum";"665110";"50915949";NA;"1027211"
"Janusia anisandra";"661488";"50915866";NA;"151839"
