"sp_taxon_1";"sp_taxon_2";"value";"type"
"calanoid copepods";"diatoms";"1";"herbivory"
"epontic copepods";"diatoms";"1";"herbivory"
"Parathemisto spp. (amphipods)";"diatoms";"1";"herbivory"
"Parathemisto spp. (amphipods)";"calanoid copepods";"1";"predation"
"arctic cod";"calanoid copepods";"1";"predation"
"arctic cod";"Parathemisto spp. (amphipods)";"1";"predation"
"murres";"epontic copepods";"1";"predation"
"murres";"Parathemisto spp. (amphipods)";"1";"predation"
"murres";"arctic cod";"1";"predation"
"ringed seals";"epontic copepods";"1";"predation"
"ringed seals";"Parathemisto spp. (amphipods)";"1";"predation"
"ringed seals";"arctic cod";"1";"predation"
"narwhals";"arctic cod";"1";"predation"
"kittiwakes";"calanoid copepods";"1";"predation"
"kittiwakes";"arctic cod";"1";"predation"
"fulmars";"marine mammal carcasses";"1";"scavenger"
"fulmars";"calanoid copepods";"1";"predation"
"fulmars";"arctic cod";"1";"predation"
"guillemots";"epontic copepods";"1";"predation"
"guillemots";"arctic cod";"1";"predation"
