"original_name";"name_clear"
"Market squid";"Doryteuthis opalescens"
"Spiny dogfish";"Squalus acanthias"
"Pacific mackerel";"Scomber japonicus"
"Black rockfish";"Sebastes melanops"
"Sablefish";"Anoplopoma fimbria"
"Coho salmon (juvenile)";"Coho salmon"
"Coho salmon (adult)";"Coho salmon"
"Chinook salmon (juvenile)";"Chinook salmon"
"Chinook salmon (adult)";"Chinook salmon"
"Jack mackerel";"Trachurus"
"Pacific hake";"Merluccius productus"
"Cnidarians (Hydromedusae - Scyphomedusae)";"Cnidarians"
"Ctenophores (Beroe sp.)";"Ctenophores"
"Cephalopods (Loligo opalescens)";"Cephalopods"
"Copepods (Neocalanus cristatus - N. plumchrus)";"Copepods"
"Amphipods";"Amphipoda"
"Ephausiids";"Euphausiacea"
"Decapods";"Decapoda"
"Insects";"Insecta"
"Chaetognaths";"Chaetognatha"
"Clupeids";"Clupeidae"
"Scorpaenids";"Scorpaenidae"
"Pleuronectids";"Pleuronectidae"
"Other fishes";"Pisces"
